temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,tt,bcs,4u,None,000006,None,2.93652e-06,True,0.709653,True,9.80079e-07,True,True,True,3.8578767979997792
27,0.0,3.3,1,tt,bcs,5u,None,000007,None,2.93655e-06,True,0.689346,True,9.8011e-07,True,True,True,
27,0.0,3.3,1,tt,bcs,6u,None,000008,None,2.93657e-06,True,0.673956,True,9.80133e-07,True,True,True,
27,0.0,3.3,1,ss,wcs,4u,None,000012,None,2.03378e-06,True,0.724825,True,6.78773e-07,False,False,False,
27,0.0,3.3,1,ss,wcs,5u,None,000013,None,2.0338e-06,True,0.706557,True,6.78792e-07,False,False,False,
27,0.0,3.3,1,ss,wcs,6u,None,000014,None,2.03382e-06,True,0.692672,True,6.78807e-07,False,False,False,
27,0.0,3.3,1,tt,typ,4u,None,000000,None,2.40816e-06,True,0.692093,True,8.03773e-07,True,True,True,
27,0.0,3.3,1,tt,typ,5u,None,000001,None,2.40818e-06,True,0.673127,True,8.03796e-07,True,True,True,
27,0.0,3.3,1,tt,typ,6u,None,000002,None,2.4082e-06,True,0.658727,True,8.03814e-07,True,True,True,
27,0.0,3.3,1,tt,wcs,4u,None,000003,None,2.00691e-06,True,0.676994,True,6.69874e-07,False,False,False,
27,0.0,3.3,1,tt,wcs,5u,None,000004,None,2.00693e-06,True,0.659153,True,6.69893e-07,False,False,False,
27,0.0,3.3,1,tt,wcs,6u,None,000005,None,2.00695e-06,True,0.645584,True,6.69908e-07,False,False,False,
27,0.0,3.3,1,ss,typ,4u,None,000009,None,2.4433e-06,True,0.74042,True,8.15419e-07,True,True,True,
27,0.0,3.3,1,ss,typ,5u,None,000010,None,2.44333e-06,True,0.720978,True,8.15444e-07,True,True,True,
27,0.0,3.3,1,ss,typ,6u,None,000011,None,2.44335e-06,True,0.706226,True,8.15462e-07,True,True,True,
27,0.0,3.3,1,ss,bcs,4u,None,000015,None,2.98322e-06,True,0.758578,True,9.95568e-07,True,True,True,
27,0.0,3.3,1,ss,bcs,5u,None,000016,None,2.98326e-06,True,0.737734,True,9.956e-07,True,True,True,
27,0.0,3.3,1,ss,bcs,6u,None,000017,None,2.98328e-06,True,0.721948,True,9.95624e-07,True,True,True,
27,0.0,3.3,1,ff,typ,4u,None,000018,None,2.37283e-06,True,0.641495,True,7.92065e-07,False,False,False,
27,0.0,3.3,1,ff,typ,5u,None,000019,None,2.37285e-06,True,0.623001,True,7.92088e-07,False,False,False,
27,0.0,3.3,1,ff,typ,6u,None,000020,None,2.37287e-06,True,0.60895,True,7.92106e-07,False,False,False,
27,0.0,3.3,1,ff,wcs,4u,None,000021,None,1.97994e-06,True,0.626889,True,6.60943e-07,False,False,False,
27,0.0,3.3,1,ff,wcs,5u,None,000022,None,1.97996e-06,True,0.609472,True,6.60962e-07,False,False,False,
27,0.0,3.3,1,ff,wcs,6u,None,000023,None,1.97998e-06,True,0.596214,True,6.60977e-07,False,False,False,
27,0.0,3.3,1,sf,wcs,4u,None,000030,None,2.02506e-06,True,0.701055,True,6.75949e-07,False,False,False,
27,0.0,3.3,1,sf,wcs,5u,None,000031,None,2.02508e-06,True,0.682987,True,6.75968e-07,False,False,False,
27,0.0,3.3,1,sf,wcs,6u,None,000032,None,2.0251e-06,True,0.669249,True,6.75983e-07,False,False,False,
27,0.0,3.3,1,ff,bcs,4u,None,000024,None,2.88949e-06,True,0.658461,True,9.64487e-07,True,True,True,
27,0.0,3.3,1,ff,bcs,5u,None,000025,None,2.88952e-06,True,0.638685,True,9.64517e-07,True,True,True,
27,0.0,3.3,1,ff,bcs,6u,None,000026,None,2.88954e-06,True,0.623688,True,9.6454e-07,True,True,True,
27,0.0,3.3,1,sf,typ,4u,None,000027,None,2.43126e-06,True,0.716409,True,8.11504e-07,True,True,True,
27,0.0,3.3,1,sf,typ,5u,None,000028,None,2.43129e-06,True,0.69719,True,8.11528e-07,True,True,True,
27,0.0,3.3,1,sf,typ,6u,None,000029,None,2.43131e-06,True,0.682603,True,8.11546e-07,True,True,True,
27,0.0,3.3,1,sf,bcs,4u,None,000033,None,2.96643e-06,True,0.734275,True,9.90088e-07,True,True,True,
27,0.0,3.3,1,sf,bcs,5u,None,000034,None,2.96646e-06,True,0.713685,True,9.90119e-07,True,True,True,
27,0.0,3.3,1,sf,bcs,6u,None,000035,None,2.96649e-06,True,0.698085,True,9.90143e-07,True,True,True,
27,0.0,3.3,1,fs,typ,4u,None,000036,None,2.38479e-06,True,0.666525,True,7.95955e-07,False,False,False,
27,0.0,3.3,1,fs,typ,5u,None,000037,None,2.38482e-06,True,0.647812,True,7.95978e-07,False,False,False,
27,0.0,3.3,1,fs,typ,6u,None,000038,None,2.38483e-06,True,0.633599,True,7.95996e-07,False,False,False,
27,0.0,3.3,1,fs,wcs,4u,None,000039,None,1.98858e-06,True,0.651683,True,6.6374e-07,False,False,False,
27,0.0,3.3,1,fs,wcs,5u,None,000040,None,1.9886e-06,True,0.634069,True,6.63759e-07,False,False,False,
27,0.0,3.3,1,fs,wcs,6u,None,000041,None,1.98862e-06,True,0.620667,True,6.63773e-07,False,False,False,
27,0.0,3.3,1,fs,bcs,4u,None,000042,None,2.90621e-06,True,0.683777,True,9.69944e-07,True,True,True,
27,0.0,3.3,1,fs,bcs,5u,None,000043,None,2.90624e-06,True,0.663753,True,9.69974e-07,True,True,True,
27,0.0,3.3,1,fs,bcs,6u,None,000044,None,2.90626e-06,True,0.648573,True,9.69997e-07,True,True,True,
27,0.0,3.2,1,tt,typ,4u,None,000045,None,2.39971e-06,True,0.691788,True,8.0091e-07,True,True,True,
27,0.0,3.2,1,tt,typ,5u,None,000046,None,2.39973e-06,True,0.672845,True,8.00933e-07,True,True,True,
27,0.0,3.2,1,tt,typ,6u,None,000047,None,2.39975e-06,True,0.658463,True,8.00951e-07,True,True,True,
27,0.0,3.2,1,tt,wcs,4u,None,000048,None,1.99965e-06,True,0.676699,True,6.67415e-07,False,False,False,
27,0.0,3.2,1,tt,wcs,5u,None,000049,None,1.99967e-06,True,0.65888,True,6.67433e-07,False,False,False,
27,0.0,3.2,1,tt,wcs,6u,None,000050,None,1.99968e-06,True,0.645326,True,6.67448e-07,False,False,False,
27,0.0,3.2,1,tt,bcs,4u,None,000051,None,2.92658e-06,True,0.709338,True,9.76713e-07,True,True,True,
27,0.0,3.2,1,tt,bcs,5u,None,000052,None,2.92661e-06,True,0.689056,True,9.76743e-07,True,True,True,
27,0.0,3.2,1,tt,bcs,6u,None,000053,None,2.92663e-06,True,0.673683,True,9.76766e-07,True,True,True,
27,0.0,3.2,1,ss,typ,4u,None,000054,None,2.43507e-06,True,0.74012,True,8.12631e-07,True,True,True,
27,0.0,3.2,1,ss,typ,5u,None,000055,None,2.4351e-06,True,0.7207,True,8.12656e-07,True,True,True,
27,0.0,3.2,1,ss,typ,6u,None,000056,None,2.43512e-06,True,0.705965,True,8.12674e-07,True,True,True,
27,0.0,3.2,1,ss,wcs,4u,None,000057,None,2.02673e-06,True,0.724535,True,6.76386e-07,False,False,False,
27,0.0,3.2,1,ss,wcs,5u,None,000058,None,2.02675e-06,True,0.706289,True,6.76405e-07,False,False,False,
27,0.0,3.2,1,ss,wcs,6u,None,000059,None,2.02676e-06,True,0.692419,True,6.76419e-07,False,False,False,
27,0.0,3.2,1,ss,bcs,4u,None,000060,None,2.97351e-06,True,0.758266,True,9.92277e-07,True,True,True,
