temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,ff,typ,4u,None,000018,None,4.31235e-06,True,0.696824,True,1.43929e-06,False,False,False,3.9174706030007655
27,0.0,3.3,1,ff,typ,5u,None,000019,None,4.3124e-06,True,0.674051,True,1.43934e-06,False,False,False,
27,0.0,3.3,1,ff,typ,6u,None,000020,None,4.31244e-06,True,0.656835,True,1.43938e-06,False,False,False,
27,0.0,3.3,1,tt,typ,4u,None,000000,None,4.39466e-06,True,0.749436,True,1.46661e-06,False,False,False,
27,0.0,3.3,1,tt,typ,5u,None,000001,None,4.39471e-06,True,0.725988,True,1.46666e-06,False,False,False,
27,0.0,3.3,1,tt,typ,6u,None,000002,None,4.39475e-06,True,0.708275,True,1.4667e-06,False,False,False,
27,0.0,3.3,1,ss,typ,4u,None,000009,None,4.47624e-06,True,0.799784,True,1.49368e-06,False,False,False,
27,0.0,3.3,1,ss,typ,5u,None,000010,None,4.47629e-06,True,0.775658,True,1.49374e-06,False,False,False,
27,0.0,3.3,1,ss,typ,6u,None,000011,None,4.47633e-06,True,0.757442,True,1.49378e-06,False,False,False,
27,0.0,3.3,1,ss,wcs,4u,None,000012,None,3.78316e-06,True,0.781953,True,1.26246e-06,False,False,False,
27,0.0,3.3,1,ss,wcs,5u,None,000013,None,3.7832e-06,True,0.759264,True,1.2625e-06,False,False,False,
27,0.0,3.3,1,ss,wcs,6u,None,000014,None,3.78324e-06,True,0.742111,True,1.26253e-06,False,False,False,
27,0.0,3.3,1,ff,bcs,4u,None,000024,None,5.17655e-06,True,0.71627,True,1.72765e-06,False,False,False,
27,0.0,3.3,1,ff,bcs,5u,None,000025,None,5.17661e-06,True,0.691934,True,1.72771e-06,False,False,False,
27,0.0,3.3,1,ff,bcs,6u,None,000026,None,5.17666e-06,True,0.673561,True,1.72776e-06,False,False,False,
27,0.0,3.3,1,tt,wcs,4u,None,000003,None,3.71822e-06,True,0.732232,True,1.24091e-06,False,False,False,
27,0.0,3.3,1,tt,wcs,5u,None,000004,None,3.71826e-06,True,0.710158,True,1.24095e-06,False,False,False,
27,0.0,3.3,1,tt,wcs,6u,None,000005,None,3.7183e-06,True,0.693461,True,1.24099e-06,False,False,False,
27,0.0,3.3,1,ss,bcs,4u,None,000015,None,5.38637e-06,True,0.820741,True,1.79731e-06,False,False,False,
27,0.0,3.3,1,ss,bcs,5u,None,000016,None,5.38644e-06,True,0.7949,True,1.79738e-06,False,False,False,
27,0.0,3.3,1,ss,bcs,6u,None,000017,None,5.38649e-06,True,0.775415,True,1.79743e-06,False,False,False,
27,0.0,3.3,1,sf,typ,4u,None,000027,None,4.44465e-06,True,0.774785,True,1.48333e-06,False,False,False,
27,0.0,3.3,1,sf,typ,5u,None,000028,None,4.44471e-06,True,0.750981,True,1.48338e-06,False,False,False,
27,0.0,3.3,1,sf,typ,6u,None,000029,None,4.44475e-06,True,0.733004,True,1.48342e-06,False,False,False,
27,0.0,3.3,1,sf,wcs,4u,None,000030,None,3.7587e-06,True,0.757262,True,1.25445e-06,False,False,False,
27,0.0,3.3,1,sf,wcs,5u,None,000031,None,3.75874e-06,True,0.734863,True,1.25449e-06,False,False,False,
27,0.0,3.3,1,sf,wcs,6u,None,000032,None,3.75878e-06,True,0.717926,True,1.25453e-06,False,False,False,
27,0.0,3.3,1,tt,bcs,4u,None,000006,None,5.28196e-06,True,0.769636,True,1.76265e-06,False,False,False,
27,0.0,3.3,1,tt,bcs,5u,None,000007,None,5.28203e-06,True,0.74455,True,1.76271e-06,False,False,False,
27,0.0,3.3,1,tt,bcs,6u,None,000008,None,5.28208e-06,True,0.725623,True,1.76276e-06,False,False,False,
27,0.0,3.3,1,ff,wcs,4u,None,000021,None,3.65276e-06,True,0.680246,True,1.21919e-06,False,False,False,
27,0.0,3.3,1,ff,wcs,5u,None,000022,None,3.6528e-06,True,0.658783,True,1.21923e-06,False,False,False,
27,0.0,3.3,1,ff,wcs,6u,None,000023,None,3.65283e-06,True,0.642537,True,1.21926e-06,False,False,False,
27,0.0,3.3,1,sf,bcs,4u,None,000033,None,5.34488e-06,True,0.795371,True,1.78368e-06,False,False,False,
27,0.0,3.3,1,sf,bcs,5u,None,000034,None,5.34495e-06,True,0.769889,True,1.78375e-06,False,False,False,
27,0.0,3.3,1,sf,bcs,6u,None,000035,None,5.345e-06,True,0.75067,True,1.7838e-06,False,False,False,
