temp,seed,vdd,sigma,corner_mos,corner_res,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
0,0.0,3.2,1,ff,bcs,None,000053,None,1.47969e-05,True,0.833735,True,4.93677e-06,False,False,False,
0,0.0,3.2,1,sf,typ,None,000054,None,1.24349e-05,True,0.888179,True,4.14866e-06,False,False,False,
0,0.0,3.2,1,sf,wcs,None,000055,None,1.01814e-05,True,0.861315,True,3.39699e-06,False,False,False,
0,0.0,3.2,1,sf,bcs,None,000056,None,1.54346e-05,True,0.919671,True,5.14908e-06,False,False,False,
0,0.0,3.2,1,fs,typ,None,000057,None,1.20768e-05,True,0.832152,True,4.02905e-06,False,False,False,
0,0.0,3.2,1,fs,wcs,None,000058,None,9.89946e-06,True,0.806401,True,3.30281e-06,False,False,False,
0,0.0,3.2,1,fs,bcs,None,000059,None,1.49713e-05,True,0.8623,True,4.99438e-06,False,False,False,
80,0.0,3.3,1,tt,typ,None,000060,None,1.47729e-05,True,0.852023,True,4.92876e-06,False,False,False,
80,0.0,3.3,1,tt,wcs,None,000061,None,1.2052e-05,True,0.818586,True,4.02124e-06,False,False,False,
80,0.0,3.3,1,tt,bcs,None,000062,None,1.84267e-05,True,0.891567,True,6.14731e-06,False,False,False,
80,0.0,3.3,1,ss,typ,None,000063,None,1.51643e-05,True,0.908146,True,5.05882e-06,False,False,False,
80,0.0,3.3,1,ss,wcs,None,000064,None,1.23542e-05,True,0.873273,True,4.12167e-06,False,False,False,
80,0.0,3.3,1,ss,bcs,None,000065,None,1.89435e-05,True,0.949449,True,6.31905e-06,False,False,False,
80,0.0,3.3,1,ff,typ,None,000066,None,1.43759e-05,True,0.793599,True,4.79681e-06,False,False,False,
80,0.0,3.3,1,ff,wcs,None,000067,None,1.17454e-05,True,0.761596,True,3.91937e-06,False,False,False,
80,0.0,3.3,1,ff,bcs,None,000068,None,1.79025e-05,True,0.83139,True,5.97308e-06,False,False,False,
80,0.0,3.3,1,sf,typ,None,000069,None,1.49926e-05,True,0.880301,True,5.00215e-06,False,False,False,
80,0.0,3.3,1,sf,wcs,None,000070,None,1.22231e-05,True,0.846132,True,4.07841e-06,False,False,False,
80,0.0,3.3,1,sf,bcs,None,000071,None,1.87147e-05,True,0.920742,True,6.24348e-06,False,False,False,
80,0.0,3.3,1,fs,typ,None,000072,None,1.45473e-05,True,0.822398,True,4.85343e-06,False,False,False,
80,0.0,3.3,1,fs,wcs,None,000073,None,1.18765e-05,True,0.789707,True,3.96261e-06,False,False,False,
80,0.0,3.3,1,fs,bcs,None,000074,None,1.81309e-05,True,0.861028,True,6.04852e-06,False,False,False,
80,0.0,3.2,1,tt,typ,None,000075,None,1.47396e-05,True,0.851628,True,4.91739e-06,False,False,False,
80,0.0,3.2,1,tt,wcs,None,000076,None,1.20241e-05,True,0.818213,True,4.01174e-06,False,False,False,
80,0.0,3.2,1,tt,bcs,None,000077,None,1.83859e-05,True,0.891141,True,6.13336e-06,False,False,False,
80,0.0,3.2,1,ss,typ,None,000078,None,1.513e-05,True,0.907735,True,5.04711e-06,False,False,False,
80,0.0,3.2,1,ss,wcs,None,000079,None,1.23258e-05,True,0.872888,True,4.11197e-06,False,False,False,
80,0.0,3.2,1,ss,bcs,None,000080,None,1.8901e-05,True,0.949002,True,6.30454e-06,False,False,False,
80,0.0,3.2,1,ff,typ,None,000081,None,1.43433e-05,True,0.793218,True,4.78571e-06,False,False,False,
80,0.0,3.2,1,ff,wcs,None,000082,None,1.17179e-05,True,0.761232,True,3.90999e-06,False,False,False,
80,0.0,3.2,1,ff,bcs,None,000083,None,1.7863e-05,True,0.830983,True,5.95961e-06,False,False,False,
80,0.0,3.2,1,sf,typ,None,000084,None,1.4959e-05,True,0.879901,True,4.99069e-06,False,False,False,
80,0.0,3.2,1,sf,wcs,None,000085,None,1.21949e-05,True,0.845754,True,4.06882e-06,False,False,False,
80,0.0,3.2,1,sf,bcs,None,000086,None,1.86736e-05,True,0.920312,True,6.22943e-06,False,False,False,
80,0.0,3.2,1,fs,typ,None,000087,None,1.45143e-05,True,0.822008,True,4.84215e-06,False,False,False,
80,0.0,3.2,1,fs,wcs,None,000088,None,1.18488e-05,True,0.789339,True,3.9532e-06,False,False,False,
80,0.0,3.2,1,fs,bcs,None,000089,None,1.80902e-05,True,0.860608,True,6.03466e-06,False,False,False,
