temp,seed,vdd,sigma,corner_mos,corner_res,res,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,tt,typ,50000,None,000000,None,3.19965e-06,True,0.0534437,True,True,True,4.048245858999508
27,0.0,3.3,1,tt,typ,10000,None,000001,None,3.19983e-06,True,0.0106905,True,True,True,
27,0.0,3.3,1,tt,typ,80000,None,000002,None,3.19954e-06,True,0.0855005,True,True,True,
27,0.0,3.3,1,ss,typ,50000,None,000009,None,3.25203e-06,True,0.0543152,True,True,True,
27,0.0,3.3,1,ss,typ,10000,None,000010,None,3.2522e-06,True,0.0108648,True,True,True,
27,0.0,3.3,1,ss,typ,80000,None,000011,None,3.25191e-06,True,0.0868947,True,True,True,
27,0.0,3.3,1,ss,wcs,50000,None,000012,None,2.71024e-06,True,0.0452696,True,True,True,
27,0.0,3.3,1,ss,wcs,10000,None,000013,None,2.71037e-06,True,0.00905523,True,True,True,
27,0.0,3.3,1,ss,wcs,80000,None,000014,None,2.71015e-06,True,0.0724242,True,True,True,
27,0.0,3.3,1,ff,typ,50000,None,000018,None,3.14685e-06,True,0.0525651,True,True,True,
27,0.0,3.3,1,ff,typ,10000,None,000019,None,3.14702e-06,True,0.0105147,True,True,True,
27,0.0,3.3,1,ff,typ,80000,None,000020,None,3.14674e-06,True,0.0840948,True,True,True,
27,0.0,3.3,1,ff,wcs,50000,None,000021,None,2.62918e-06,True,0.0439211,True,True,True,
27,0.0,3.3,1,ff,wcs,10000,None,000022,None,2.6293e-06,True,0.00878547,True,True,True,
27,0.0,3.3,1,ff,wcs,80000,None,000023,None,2.62909e-06,True,0.0702667,True,True,True,
27,0.0,3.3,1,sf,wcs,50000,None,000030,None,2.69366e-06,True,0.0449976,True,True,True,
27,0.0,3.3,1,sf,wcs,10000,None,000031,None,2.69379e-06,True,0.00900083,True,True,True,
27,0.0,3.3,1,sf,wcs,80000,None,000032,None,2.69357e-06,True,0.071989,True,True,True,
27,0.0,3.3,1,tt,bcs,50000,None,000006,None,3.89785e-06,True,0.0651003,True,True,True,
27,0.0,3.3,1,tt,bcs,10000,None,000007,None,3.89809e-06,True,0.0130225,True,True,True,
27,0.0,3.3,1,tt,bcs,80000,None,000008,None,3.89769e-06,True,0.104148,True,True,True,
27,0.0,3.3,1,ss,bcs,50000,None,000015,None,3.96691e-06,True,0.0662496,True,True,True,
27,0.0,3.3,1,ss,bcs,10000,None,000016,None,3.96715e-06,True,0.0132524,True,True,True,
27,0.0,3.3,1,ss,bcs,80000,None,000017,None,3.96674e-06,True,0.105986,True,True,True,
27,0.0,3.3,1,ff,bcs,50000,None,000024,None,3.82817e-06,True,0.0639404,True,True,True,
27,0.0,3.3,1,ff,bcs,10000,None,000025,None,3.8284e-06,True,0.0127904,True,True,True,
27,0.0,3.3,1,ff,bcs,80000,None,000026,None,3.82801e-06,True,0.102292,True,True,True,
27,0.0,3.3,1,tt,wcs,50000,None,000003,None,2.66985e-06,True,0.0445978,True,True,True,
27,0.0,3.3,1,tt,wcs,10000,None,000004,None,2.66998e-06,True,0.00892084,True,True,True,
27,0.0,3.3,1,tt,wcs,80000,None,000005,None,2.66976e-06,True,0.0713494,True,True,True,
27,0.0,3.3,1,sf,typ,50000,None,000027,None,3.23006e-06,True,0.0539542,True,True,True,
27,0.0,3.3,1,sf,typ,10000,None,000028,None,3.23024e-06,True,0.0107926,True,True,True,
27,0.0,3.3,1,sf,typ,80000,None,000029,None,3.22994e-06,True,0.0863171,True,True,True,
27,0.0,3.3,1,sf,bcs,50000,None,000033,None,3.93737e-06,True,0.0657634,True,True,True,
27,0.0,3.3,1,sf,bcs,10000,None,000034,None,3.93762e-06,True,0.0131551,True,True,True,
27,0.0,3.3,1,sf,bcs,80000,None,000035,None,3.93721e-06,True,0.105208,True,True,True,
27,0.0,3.3,1,fs,typ,50000,None,000036,None,3.16878e-06,True,0.0529255,True,True,True,
27,0.0,3.3,1,fs,typ,10000,None,000037,None,3.16895e-06,True,0.0105868,True,True,True,
27,0.0,3.3,1,fs,typ,80000,None,000038,None,3.16866e-06,True,0.0846715,True,True,True,
27,0.0,3.3,1,fs,wcs,50000,None,000039,None,2.64571e-06,True,0.0441923,True,True,True,
27,0.0,3.3,1,fs,wcs,10000,None,000040,None,2.64583e-06,True,0.00883971,True,True,True,
27,0.0,3.3,1,fs,wcs,80000,None,000041,None,2.64562e-06,True,0.0707007,True,True,True,
27,0.0,3.3,1,fs,bcs,50000,None,000042,None,3.85768e-06,True,0.0644263,True,True,True,
27,0.0,3.3,1,fs,bcs,10000,None,000043,None,3.85792e-06,True,0.0128876,True,True,True,
27,0.0,3.3,1,fs,bcs,80000,None,000044,None,3.85752e-06,True,0.103069,True,True,True,
27,0.0,3.2,1,tt,typ,50000,None,000045,None,3.19334e-06,True,0.0533297,True,True,True,
27,0.0,3.2,1,tt,typ,10000,None,000046,None,3.19348e-06,True,0.0106673,True,True,True,
27,0.0,3.2,1,tt,typ,80000,None,000047,None,3.19325e-06,True,0.08532,True,True,True,
27,0.0,3.2,1,tt,wcs,50000,None,000048,None,2.6644e-06,True,0.0444989,True,True,True,
27,0.0,3.2,1,tt,wcs,10000,None,000049,None,2.6645e-06,True,0.00890078,True,True,True,
27,0.0,3.2,1,tt,wcs,80000,None,000050,None,2.66433e-06,True,0.0711927,True,True,True,
27,0.0,3.2,1,tt,bcs,50000,None,000051,None,3.89047e-06,True,0.0649674,True,True,True,
27,0.0,3.2,1,tt,bcs,10000,None,000052,None,3.89066e-06,True,0.0129954,True,True,True,
27,0.0,3.2,1,tt,bcs,80000,None,000053,None,3.89034e-06,True,0.103938,True,True,True,
27,0.0,3.2,1,ss,typ,50000,None,000054,None,3.24591e-06,True,0.0542044,True,True,True,
27,0.0,3.2,1,ss,typ,10000,None,000055,None,3.24605e-06,True,0.0108423,True,True,True,
27,0.0,3.2,1,ss,typ,80000,None,000056,None,3.24581e-06,True,0.0867194,True,True,True,
27,0.0,3.2,1,ss,wcs,50000,None,000057,None,2.70497e-06,True,0.0451739,True,True,True,
27,0.0,3.2,1,ss,wcs,10000,None,000058,None,2.70508e-06,True,0.0090358,True,True,True,
27,0.0,3.2,1,ss,wcs,80000,None,000059,None,2.7049e-06,True,0.0722726,True,True,True,
27,0.0,3.2,1,ss,bcs,50000,None,000060,None,3.95971e-06,True,0.0661199,True,True,True,
27,0.0,3.2,1,ss,bcs,10000,None,000061,None,3.9599e-06,True,0.0132259,True,True,True,
27,0.0,3.2,1,ss,bcs,80000,None,000062,None,3.95958e-06,True,0.105781,True,True,True,
27,0.0,3.2,1,ff,typ,50000,None,000063,None,3.14029e-06,True,0.0524468,True,True,True,
27,0.0,3.2,1,ff,typ,10000,None,000064,None,3.14042e-06,True,0.0104907,True,True,True,
27,0.0,3.2,1,ff,typ,80000,None,000065,None,3.1402e-06,True,0.0839076,True,True,True,
27,0.0,3.2,1,ff,wcs,50000,None,000066,None,2.62348e-06,True,0.0438182,True,True,True,
27,0.0,3.2,1,ff,wcs,10000,None,000067,None,2.62358e-06,True,0.00876462,True,True,True,
27,0.0,3.2,1,ff,wcs,80000,None,000068,None,2.62341e-06,True,0.0701036,True,True,True,
27,0.0,3.2,1,ff,bcs,50000,None,000069,None,3.82053e-06,True,0.0638032,True,True,True,
27,0.0,3.2,1,ff,bcs,10000,None,000070,None,3.82071e-06,True,0.0127625,True,True,True,
27,0.0,3.2,1,ff,bcs,80000,None,000071,None,3.8204e-06,True,0.102075,True,True,True,
27,0.0,3.2,1,sf,typ,50000,None,000072,None,3.22356e-06,True,0.053837,True,True,True,
27,0.0,3.2,1,sf,typ,10000,None,000073,None,3.2237e-06,True,0.0107688,True,True,True,
27,0.0,3.2,1,sf,typ,80000,None,000074,None,3.22347e-06,True,0.0861316,True,True,True,
27,0.0,3.2,1,sf,wcs,50000,None,000075,None,2.68803e-06,True,0.0448959,True,True,True,
27,0.0,3.2,1,sf,wcs,10000,None,000076,None,2.68814e-06,True,0.00898019,True,True,True,
27,0.0,3.2,1,sf,wcs,80000,None,000077,None,2.68796e-06,True,0.0718277,True,True,True,
27,0.0,3.2,1,sf,bcs,50000,None,000078,None,3.92978e-06,True,0.0656271,True,True,True,
27,0.0,3.2,1,sf,bcs,10000,None,000079,None,3.92998e-06,True,0.0131274,True,True,True,
27,0.0,3.2,1,sf,bcs,80000,None,000080,None,3.92965e-06,True,0.104993,True,True,True,
27,0.0,3.2,1,fs,typ,50000,None,000081,None,3.16264e-06,True,0.0528143,True,True,True,
27,0.0,3.2,1,fs,typ,10000,None,000082,None,3.16277e-06,True,0.0105642,True,True,True,
27,0.0,3.2,1,fs,typ,80000,None,000083,None,3.16254e-06,True,0.0844956,True,True,True,
27,0.0,3.2,1,fs,wcs,50000,None,000084,None,2.64041e-06,True,0.0440961,True,True,True,
27,0.0,3.2,1,fs,wcs,10000,None,000085,None,2.64051e-06,True,0.00882019,True,True,True,
27,0.0,3.2,1,fs,wcs,80000,None,000086,None,2.64034e-06,True,0.0705482,True,True,True,
27,0.0,3.2,1,fs,bcs,50000,None,000087,None,3.85048e-06,True,0.0642966,True,True,True,
27,0.0,3.2,1,fs,bcs,10000,None,000088,None,3.85066e-06,True,0.0128612,True,True,True,
27,0.0,3.2,1,fs,bcs,80000,None,000089,None,3.85035e-06,True,0.102864,True,True,True,
0,0.0,3.3,1,tt,typ,50000,None,000090,None,3.00988e-06,True,0.0502753,True,True,True,
0,0.0,3.3,1,tt,typ,10000,None,000091,None,3.01004e-06,True,0.0100566,True,True,True,
0,0.0,3.3,1,tt,typ,80000,None,000092,None,3.00977e-06,True,0.0804317,True,True,True,
0,0.0,3.3,1,tt,wcs,50000,None,000093,None,2.50864e-06,True,0.041906,True,True,True,
0,0.0,3.3,1,tt,wcs,10000,None,000094,None,2.50876e-06,True,0.00838236,True,True,True,
0,0.0,3.3,1,tt,wcs,80000,None,000095,None,2.50856e-06,True,0.0670431,True,True,True,
0,0.0,3.3,1,tt,bcs,50000,None,000096,None,3.67048e-06,True,0.0613045,True,True,True,
0,0.0,3.3,1,tt,bcs,10000,None,000097,None,3.6707e-06,True,0.0122631,True,True,True,
0,0.0,3.3,1,tt,bcs,80000,None,000098,None,3.67033e-06,True,0.0980752,True,True,True,
0,0.0,3.3,1,ss,typ,50000,None,000099,None,3.05976e-06,True,0.0511053,True,True,True,
0,0.0,3.3,1,ss,typ,10000,None,000100,None,3.05992e-06,True,0.0102227,True,True,True,
0,0.0,3.3,1,ss,typ,80000,None,000101,None,3.05965e-06,True,0.0817596,True,True,True,
0,0.0,3.3,1,ss,wcs,50000,None,000102,None,2.54715e-06,True,0.0425467,True,True,True,
0,0.0,3.3,1,ss,wcs,10000,None,000103,None,2.54727e-06,True,0.00851052,True,True,True,
0,0.0,3.3,1,ss,wcs,80000,None,000104,None,2.54707e-06,True,0.0680681,True,True,True,
0,0.0,3.3,1,ss,bcs,50000,None,000105,None,3.73614e-06,True,0.0623974,True,True,True,
0,0.0,3.3,1,ss,bcs,10000,None,000106,None,3.73637e-06,True,0.0124817,True,True,True,
0,0.0,3.3,1,ss,bcs,80000,None,000107,None,3.73599e-06,True,0.0998236,True,True,True,
0,0.0,3.3,1,ff,typ,50000,None,000108,None,2.95964e-06,True,0.0494392,True,True,True,
0,0.0,3.3,1,ff,typ,10000,None,000109,None,2.9598e-06,True,0.0098894,True,True,True,
0,0.0,3.3,1,ff,typ,80000,None,000110,None,2.95954e-06,True,0.0790942,True,True,True,
0,0.0,3.3,1,ff,wcs,50000,None,000111,None,2.4699e-06,True,0.0412613,True,True,True,
0,0.0,3.3,1,ff,wcs,10000,None,000112,None,2.47001e-06,True,0.00825339,True,True,True,
0,0.0,3.3,1,ff,wcs,80000,None,000113,None,2.46982e-06,True,0.0660116,True,True,True,
0,0.0,3.3,1,ff,bcs,50000,None,000114,None,3.60428e-06,True,0.0602026,True,True,True,
0,0.0,3.3,1,ff,bcs,10000,None,000115,None,3.6045e-06,True,0.0120427,True,True,True,
0,0.0,3.3,1,ff,bcs,80000,None,000116,None,3.60414e-06,True,0.0963124,True,True,True,
0,0.0,3.3,1,sf,typ,50000,None,000117,None,3.03901e-06,True,0.0507642,True,True,True,
0,0.0,3.3,1,sf,typ,10000,None,000118,None,3.03917e-06,True,0.0101545,True,True,True,
0,0.0,3.3,1,sf,typ,80000,None,000119,None,3.03889e-06,True,0.0812139,True,True,True,
0,0.0,3.3,1,sf,wcs,50000,None,000120,None,2.53147e-06,True,0.0422894,True,True,True,
0,0.0,3.3,1,sf,wcs,10000,None,000121,None,2.53159e-06,True,0.00845906,True,True,True,
0,0.0,3.3,1,sf,wcs,80000,None,000122,None,2.53139e-06,True,0.0676564,True,True,True,
0,0.0,3.3,1,sf,bcs,50000,None,000123,None,3.70827e-06,True,0.0619386,True,True,True,
0,0.0,3.3,1,sf,bcs,10000,None,000124,None,3.7085e-06,True,0.01239,True,True,True,
0,0.0,3.3,1,sf,bcs,80000,None,000125,None,3.70812e-06,True,0.0990896,True,True,True,
0,0.0,3.3,1,fs,typ,50000,None,000126,None,2.98037e-06,True,0.04978,True,True,True,
0,0.0,3.3,1,fs,typ,10000,None,000127,None,2.98053e-06,True,0.00995755,True,True,True,
0,0.0,3.3,1,fs,typ,80000,None,000128,None,2.98026e-06,True,0.0796394,True,True,True,
0,0.0,3.3,1,fs,wcs,50000,None,000129,None,2.48554e-06,True,0.041518,True,True,True,
0,0.0,3.3,1,fs,wcs,10000,None,000130,None,2.48565e-06,True,0.00830474,True,True,True,
0,0.0,3.3,1,fs,wcs,80000,None,000131,None,2.48546e-06,True,0.0664224,True,True,True,
0,0.0,3.3,1,fs,bcs,50000,None,000132,None,3.63214e-06,True,0.0606613,True,True,True,
0,0.0,3.3,1,fs,bcs,10000,None,000133,None,3.63236e-06,True,0.0121344,True,True,True,
0,0.0,3.3,1,fs,bcs,80000,None,000134,None,3.632e-06,True,0.0970464,True,True,True,
0,0.0,3.2,1,tt,typ,50000,None,000135,None,3.00354e-06,True,0.0501608,True,True,True,
0,0.0,3.2,1,tt,typ,10000,None,000136,None,3.00366e-06,True,0.0100334,True,True,True,
0,0.0,3.2,1,tt,typ,80000,None,000137,None,3.00345e-06,True,0.0802505,True,True,True,
0,0.0,3.2,1,tt,wcs,50000,None,000138,None,2.50318e-06,True,0.0418071,True,True,True,
0,0.0,3.2,1,tt,wcs,10000,None,000139,None,2.50327e-06,True,0.00836233,True,True,True,
0,0.0,3.2,1,tt,wcs,80000,None,000140,None,2.50311e-06,True,0.0668863,True,True,True,
0,0.0,3.2,1,tt,bcs,50000,None,000141,None,3.66303e-06,True,0.0611707,True,True,True,
0,0.0,3.2,1,tt,bcs,10000,None,000142,None,3.66321e-06,True,0.0122359,True,True,True,
0,0.0,3.2,1,tt,bcs,80000,None,000143,None,3.66291e-06,True,0.0978636,True,True,True,
0,0.0,3.2,1,ss,typ,50000,None,000144,None,3.05359e-06,True,0.0509939,True,True,True,
0,0.0,3.2,1,ss,typ,10000,None,000145,None,3.05372e-06,True,0.0102,True,True,True,
0,0.0,3.2,1,ss,typ,80000,None,000146,None,3.05351e-06,True,0.0815832,True,True,True,
0,0.0,3.2,1,ss,wcs,50000,None,000147,None,2.54186e-06,True,0.0424507,True,True,True,
0,0.0,3.2,1,ss,wcs,10000,None,000148,None,2.54196e-06,True,0.00849107,True,True,True,
0,0.0,3.2,1,ss,wcs,80000,None,000149,None,2.5418e-06,True,0.067916,True,True,True,
0,0.0,3.2,1,ss,bcs,50000,None,000150,None,3.72887e-06,True,0.0622666,True,True,True,
0,0.0,3.2,1,ss,bcs,10000,None,000151,None,3.72905e-06,True,0.0124551,True,True,True,
0,0.0,3.2,1,ss,bcs,80000,None,000152,None,3.72875e-06,True,0.0996169,True,True,True,
0,0.0,3.2,1,ff,typ,50000,None,000153,None,2.95307e-06,True,0.0493209,True,True,True,
0,0.0,3.2,1,ff,typ,10000,None,000154,None,2.95319e-06,True,0.0098654,True,True,True,
0,0.0,3.2,1,ff,typ,80000,None,000155,None,2.95298e-06,True,0.0789067,True,True,True,
0,0.0,3.2,1,ff,wcs,50000,None,000156,None,2.46421e-06,True,0.0411587,True,True,True,
0,0.0,3.2,1,ff,wcs,10000,None,000157,None,2.4643e-06,True,0.00823264,True,True,True,
0,0.0,3.2,1,ff,wcs,80000,None,000158,None,2.46415e-06,True,0.065849,True,True,True,
0,0.0,3.2,1,ff,bcs,50000,None,000159,None,3.5966e-06,True,0.0600648,True,True,True,
0,0.0,3.2,1,ff,bcs,10000,None,000160,None,3.59677e-06,True,0.0120147,True,True,True,
0,0.0,3.2,1,ff,bcs,80000,None,000161,None,3.59648e-06,True,0.0960944,True,True,True,
0,0.0,3.2,1,sf,typ,50000,None,000162,None,3.03249e-06,True,0.0506468,True,True,True,
0,0.0,3.2,1,sf,typ,10000,None,000163,None,3.03261e-06,True,0.0101306,True,True,True,
0,0.0,3.2,1,sf,typ,80000,None,000164,None,3.0324e-06,True,0.0810278,True,True,True,
0,0.0,3.2,1,sf,wcs,50000,None,000165,None,2.52585e-06,True,0.0421878,True,True,True,
0,0.0,3.2,1,sf,wcs,10000,None,000166,None,2.52594e-06,True,0.00843848,True,True,True,
0,0.0,3.2,1,sf,wcs,80000,None,000167,None,2.52578e-06,True,0.0674952,True,True,True,
0,0.0,3.2,1,sf,bcs,50000,None,000168,None,3.70064e-06,True,0.0618016,True,True,True,
0,0.0,3.2,1,sf,bcs,10000,None,000169,None,3.70081e-06,True,0.0123621,True,True,True,
0,0.0,3.2,1,sf,bcs,80000,None,000170,None,3.70051e-06,True,0.0988728,True,True,True,
0,0.0,3.2,1,fs,typ,50000,None,000171,None,2.97419e-06,True,0.0496683,True,True,True,
0,0.0,3.2,1,fs,typ,10000,None,000172,None,2.97431e-06,True,0.00993489,True,True,True,
0,0.0,3.2,1,fs,typ,80000,None,000173,None,2.97411e-06,True,0.0794626,True,True,True,
0,0.0,3.2,1,fs,wcs,50000,None,000174,None,2.48022e-06,True,0.0414217,True,True,True,
0,0.0,3.2,1,fs,wcs,10000,None,000175,None,2.48031e-06,True,0.00828522,True,True,True,
0,0.0,3.2,1,fs,wcs,80000,None,000176,None,2.48016e-06,True,0.0662697,True,True,True,
0,0.0,3.2,1,fs,bcs,50000,None,000177,None,3.62488e-06,True,0.0605306,True,True,True,
0,0.0,3.2,1,fs,bcs,10000,None,000178,None,3.62505e-06,True,0.0121078,True,True,True,
0,0.0,3.2,1,fs,bcs,80000,None,000179,None,3.62476e-06,True,0.0968397,True,True,True,
