temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,ss,typ,4u,None,000009,None,2.03948e-06,True,0.72505,True,6.80624e-07,False,False,False,3.8864124229985464
27,0.0,3.3,1,ss,typ,5u,None,000010,None,2.0395e-06,True,0.706765,True,6.80644e-07,False,False,False,
27,0.0,3.3,1,ss,typ,6u,None,000011,None,2.03951e-06,True,0.692867,True,6.80658e-07,False,False,False,
27,0.0,3.3,1,tt,bcs,4u,None,000006,None,2.3783e-06,True,0.691023,True,7.93749e-07,False,False,False,
27,0.0,3.3,1,tt,bcs,5u,None,000007,None,2.37833e-06,True,0.672137,True,7.93773e-07,False,False,False,
27,0.0,3.3,1,tt,bcs,6u,None,000008,None,2.37834e-06,True,0.657797,True,7.93791e-07,False,False,False,
27,0.0,3.3,1,ss,wcs,4u,None,000012,None,1.76798e-06,True,0.71356,True,5.90037e-07,False,False,False,
27,0.0,3.3,1,ss,wcs,5u,None,000013,None,1.768e-06,True,0.696122,True,5.90053e-07,False,False,False,
27,0.0,3.3,1,ss,wcs,6u,None,000014,None,1.76801e-06,True,0.682847,True,5.90066e-07,False,False,False,
27,0.0,3.3,1,ff,wcs,4u,None,000021,None,1.76601e-06,True,0.618107,True,5.89501e-07,False,False,False,
27,0.0,3.3,1,ff,wcs,5u,None,000022,None,1.76603e-06,True,0.601322,True,5.89517e-07,False,False,False,
27,0.0,3.3,1,ff,wcs,6u,None,000023,None,1.76604e-06,True,0.588531,True,5.8953e-07,False,False,False,
27,0.0,3.3,1,tt,typ,4u,None,000000,None,2.03717e-06,True,0.678192,True,6.79921e-07,False,False,False,
27,0.0,3.3,1,tt,typ,5u,None,000001,None,2.03719e-06,True,0.660263,True,6.79941e-07,False,False,False,
27,0.0,3.3,1,tt,typ,6u,None,000002,None,2.0372e-06,True,0.646629,True,6.79956e-07,False,False,False,
27,0.0,3.3,1,tt,wcs,4u,None,000003,None,1.76685e-06,True,0.666978,True,5.8972e-07,False,False,False,
27,0.0,3.3,1,tt,wcs,5u,None,000004,None,1.76687e-06,True,0.649868,True,5.89736e-07,False,False,False,
27,0.0,3.3,1,tt,wcs,6u,None,000005,None,1.76688e-06,True,0.636836,True,5.89748e-07,False,False,False,
27,0.0,3.3,1,ss,bcs,4u,None,000015,None,2.38239e-06,True,0.738208,True,7.95035e-07,False,False,False,
27,0.0,3.3,1,ss,bcs,5u,None,000016,None,2.38241e-06,True,0.718934,True,7.95059e-07,False,False,False,
27,0.0,3.3,1,ss,bcs,6u,None,000017,None,2.38243e-06,True,0.704306,True,7.95077e-07,False,False,False,
27,0.0,3.3,1,ff,typ,4u,None,000018,None,2.03517e-06,True,0.629046,True,6.79324e-07,False,False,False,
27,0.0,3.3,1,ff,typ,5u,None,000019,None,2.03519e-06,True,0.611471,True,6.79344e-07,False,False,False,
27,0.0,3.3,1,ff,typ,6u,None,000020,None,2.0352e-06,True,0.598098,True,6.79359e-07,False,False,False,
27,0.0,3.3,1,sf,typ,4u,None,000027,None,2.04279e-06,True,0.701759,True,6.81817e-07,False,False,False,
27,0.0,3.3,1,sf,typ,5u,None,000028,None,2.04281e-06,True,0.683639,True,6.81836e-07,False,False,False,
27,0.0,3.3,1,sf,typ,6u,None,000029,None,2.04283e-06,True,0.669862,True,6.81851e-07,False,False,False,
27,0.0,3.3,1,sf,wcs,4u,None,000030,None,1.7713e-06,True,0.690399,True,5.9122e-07,False,False,False,
27,0.0,3.3,1,sf,wcs,5u,None,000031,None,1.77132e-06,True,0.673112,True,5.91236e-07,False,False,False,
27,0.0,3.3,1,sf,wcs,6u,None,000032,None,1.77133e-06,True,0.65995,True,5.91249e-07,False,False,False,
27,0.0,3.3,1,ff,bcs,4u,None,000024,None,2.37454e-06,True,0.641549,True,7.92577e-07,False,False,False,
