temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,tt,typ,4u,None,000000,None,6.57842e-06,True,0.795646,True,2.19515e-06,False,False,False,4.007267466000485
27,0.0,3.3,1,tt,typ,5u,None,000001,None,6.57851e-06,True,0.768415,True,2.19524e-06,False,False,False,
27,0.0,3.3,1,tt,typ,6u,None,000002,None,6.57858e-06,True,0.747899,True,2.19531e-06,False,False,False,
27,0.0,3.3,1,tt,bcs,4u,None,000006,None,8.16404e-06,True,0.823453,True,2.7241e-06,False,False,False,
27,0.0,3.3,1,tt,bcs,5u,None,000007,None,8.16416e-06,True,0.79389,True,2.72422e-06,False,False,False,
27,0.0,3.3,1,tt,bcs,6u,None,000008,None,8.16425e-06,True,0.771647,True,2.72431e-06,False,False,False,
27,0.0,3.3,1,ss,wcs,4u,None,000012,None,5.47262e-06,True,0.822609,True,1.82607e-06,False,False,False,
27,0.0,3.3,1,ss,wcs,5u,None,000013,None,5.4727e-06,True,0.796614,True,1.82614e-06,False,False,False,
27,0.0,3.3,1,ss,wcs,6u,None,000014,None,5.47275e-06,True,0.777015,True,1.8262e-06,False,False,False,
27,0.0,3.3,1,ff,typ,4u,None,000018,None,6.47201e-06,True,0.741918,True,2.15987e-06,False,False,False,
27,0.0,3.3,1,ff,typ,5u,None,000019,None,6.4721e-06,True,0.715485,True,2.15995e-06,False,False,False,
27,0.0,3.3,1,ff,typ,6u,None,000020,None,6.47216e-06,True,0.695559,True,2.16002e-06,False,False,False,
27,0.0,3.3,1,tt,wcs,4u,None,000003,None,5.39217e-06,True,0.771992,True,1.79941e-06,False,False,False,
27,0.0,3.3,1,tt,wcs,5u,None,000004,None,5.39224e-06,True,0.746713,True,1.79947e-06,False,False,False,
27,0.0,3.3,1,tt,wcs,6u,None,000005,None,5.39229e-06,True,0.727643,True,1.79952e-06,False,False,False,
27,0.0,3.3,1,ss,bcs,4u,None,000015,None,8.30734e-06,True,0.875986,True,2.77164e-06,False,False,False,
27,0.0,3.3,1,ss,bcs,5u,None,000016,None,8.30747e-06,True,0.845512,True,2.77177e-06,False,False,False,
27,0.0,3.3,1,ss,bcs,6u,None,000017,None,8.30756e-06,True,0.822597,True,2.77186e-06,False,False,False,
27,0.0,3.3,1,ff,wcs,4u,None,000021,None,5.31192e-06,True,0.719126,True,1.77281e-06,False,False,False,
27,0.0,3.3,1,ff,wcs,5u,None,000022,None,5.31199e-06,True,0.694558,True,1.77287e-06,False,False,False,
27,0.0,3.3,1,ff,wcs,6u,None,000023,None,5.31204e-06,True,0.676014,True,1.77292e-06,False,False,False,
