temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.2,1,ss,typ,5u,None,000006,None,1.53975e-09,True,0.40699,True,6.69528e-10,False,False,False,1.786475866998444
27,0.0,3.3,1,ss,typ,5u,None,000001,None,1.65402e-09,True,0.408388,True,6.96338e-10,False,False,False,
27,0.0,3.3,1,ff,typ,5u,None,000002,None,8.78574e-09,True,0.37042,True,2.92994e-09,False,False,False,
27,0.0,3.2,1,tt,typ,5u,None,000005,None,2.45705e-09,True,0.374635,True,9.06307e-10,False,False,False,
27,0.0,3.3,1,sf,typ,5u,None,000003,None,2.15779e-09,True,0.392823,True,8.25058e-10,False,False,False,
27,0.0,3.3,1,fs,typ,5u,None,000004,None,4.59105e-09,True,0.370682,True,1.54654e-09,False,False,False,
0,0.0,3.3,1,tt,typ,5u,None,000010,None,1.44604e-09,True,0.405782,True,6.11303e-10,False,False,False,
27,0.0,3.3,1,tt,typ,5u,None,000000,None,2.94757e-09,True,0.379642,True,1.04412e-09,False,False,False,
27,0.0,3.2,1,ff,typ,5u,None,000007,None,6.76013e-09,True,0.361208,True,2.25549e-09,False,False,False,
27,0.0,3.2,1,sf,typ,5u,None,000008,None,1.90131e-09,True,0.389871,True,7.59203e-10,False,False,False,
27,0.0,3.2,1,fs,typ,5u,None,000009,None,3.61549e-09,True,0.362983,True,1.24322e-09,False,False,False,
0,0.0,3.3,1,ss,typ,5u,None,000011,None,1.18665e-09,True,0.445805,True,5.50221e-10,False,False,False,
0,0.0,3.3,1,ff,typ,5u,None,000012,None,2.9976e-09,True,0.376695,True,1.03404e-09,False,False,False,
0,0.0,3.3,1,sf,typ,5u,None,000013,None,1.28043e-09,True,0.42533,True,5.72322e-10,False,False,False,
0,0.0,3.3,1,fs,typ,5u,None,000014,None,1.82397e-09,True,0.387429,True,7.05807e-10,False,False,False,
80,0.0,3.3,1,tt,typ,5u,None,000020,None,4.50331e-08,True,0.399745,True,1.43724e-08,False,False,False,
0,0.0,3.2,1,tt,typ,5u,None,000015,None,1.3387e-09,True,0.40445,True,5.86273e-10,False,False,False,
0,0.0,3.2,1,ss,typ,5u,None,000016,None,1.16455e-09,True,0.445554,True,5.45919e-10,False,False,False,
0,0.0,3.2,1,ff,typ,5u,None,000017,None,2.37088e-09,True,0.370648,True,8.54271e-10,False,False,False,
0,0.0,3.2,1,sf,typ,5u,None,000018,None,1.22709e-09,True,0.424664,True,5.60515e-10,False,False,False,
0,0.0,3.2,1,fs,typ,5u,None,000019,None,1.5904e-09,True,0.384674,True,6.4716e-10,False,False,False,
80,0.0,3.3,1,ss,typ,5u,None,000021,None,9.25547e-09,True,0.376167,True,3.06912e-09,False,False,False,
80,0.0,3.3,1,ff,typ,5u,None,000022,None,3.21822e-06,True,0.605729,True,1.07418e-06,True,True,True,
80,0.0,3.3,1,sf,typ,5u,None,000023,None,1.96359e-08,True,0.385879,True,6.34738e-09,False,False,False,
80,0.0,3.2,1,fs,typ,5u,None,000029,None,1.05799e-07,True,0.414572,True,3.3608e-08,False,False,False,
80,0.0,3.3,1,fs,typ,5u,None,000024,None,8.29044e-07,True,0.521391,True,2.61746e-07,False,False,False,
80,0.0,3.2,1,tt,typ,5u,None,000025,None,2.7748e-08,True,0.378998,True,8.90618e-09,False,False,False,
80,0.0,3.2,1,ss,typ,5u,None,000026,None,7.59246e-09,True,0.367864,True,2.529e-09,False,False,False,
80,0.0,3.2,1,ff,typ,5u,None,000027,None,3.2078e-06,True,0.605418,True,1.07065e-06,True,True,True,
80,0.0,3.2,1,sf,typ,5u,None,000028,None,1.47692e-08,True,0.37396,True,4.80888e-09,False,False,False,
