temp,seed,vdd,sigma,corner_mos,corner_res,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
0,0.0,3.3,1,tt,wcs,None,000031,None,1.00691e-05,True,0.834843,True,True,True,
0,0.0,3.3,1,tt,bcs,None,000032,None,1.52437e-05,True,0.89201,True,True,True,
0,0.0,3.3,1,ss,typ,None,000033,None,1.26001e-05,True,0.915539,True,True,True,
0,0.0,3.3,1,ss,wcs,None,000034,None,1.03111e-05,True,0.888126,True,True,True,
0,0.0,3.3,1,ss,bcs,None,000035,None,1.56488e-05,True,0.947693,True,True,True,
0,0.0,3.3,1,ff,typ,None,000036,None,1.19763e-05,True,0.804568,True,True,True,
0,0.0,3.3,1,ff,wcs,None,000037,None,9.82474e-06,True,0.779327,True,True,True,
0,0.0,3.3,1,ff,bcs,None,000038,None,1.48345e-05,True,0.834108,True,True,True,
0,0.0,3.3,1,sf,typ,None,000039,None,1.24674e-05,True,0.88855,True,True,True,
0,0.0,3.3,1,sf,wcs,None,000040,None,1.0209e-05,True,0.861672,True,True,True,
0,0.0,3.3,1,sf,bcs,None,000041,None,1.54733e-05,True,0.92006,True,True,True,
0,0.0,3.3,1,fs,typ,None,000042,None,1.21088e-05,True,0.832514,True,True,True,
0,0.0,3.3,1,fs,wcs,None,000043,None,9.92663e-06,True,0.806749,True,True,True,
0,0.0,3.3,1,fs,bcs,None,000044,None,1.50096e-05,True,0.862681,True,True,True,
0,0.0,3.2,1,tt,typ,None,000045,None,1.22576e-05,True,0.860801,True,True,True,
0,0.0,3.2,1,tt,wcs,None,000046,None,1.00417e-05,True,0.834491,True,True,True,
0,0.0,3.2,1,tt,bcs,None,000047,None,1.52052e-05,True,0.891626,True,True,True,
0,0.0,3.2,1,ss,typ,None,000048,None,1.25673e-05,True,0.915162,True,True,True,
0,0.0,3.2,1,ss,wcs,None,000049,None,1.02833e-05,True,0.887766,True,True,True,
0,0.0,3.2,1,ss,bcs,None,000050,None,1.56093e-05,True,0.947294,True,True,True,
0,0.0,3.2,1,ff,typ,None,000051,None,1.19445e-05,True,0.80421,True,True,True,
0,0.0,3.2,1,ff,wcs,None,000052,None,9.79747e-06,True,0.77898,True,True,True,
0,0.0,3.2,1,ff,bcs,None,000053,None,1.47969e-05,True,0.833735,True,True,True,
0,0.0,3.2,1,sf,typ,None,000054,None,1.24349e-05,True,0.888179,True,True,True,
0,0.0,3.2,1,sf,wcs,None,000055,None,1.01814e-05,True,0.861315,True,True,True,
0,0.0,3.2,1,sf,bcs,None,000056,None,1.54346e-05,True,0.919671,True,True,True,
0,0.0,3.2,1,fs,typ,None,000057,None,1.20768e-05,True,0.832152,True,True,True,
0,0.0,3.2,1,fs,wcs,None,000058,None,9.89946e-06,True,0.806401,True,True,True,
0,0.0,3.2,1,fs,bcs,None,000059,None,1.49713e-05,True,0.8623,True,True,True,
80,0.0,3.3,1,tt,typ,None,000060,None,1.47729e-05,True,0.852023,True,True,True,
80,0.0,3.3,1,tt,wcs,None,000061,None,1.2052e-05,True,0.818586,True,True,True,
80,0.0,3.3,1,tt,bcs,None,000062,None,1.84267e-05,True,0.891567,True,True,True,
80,0.0,3.3,1,ss,typ,None,000063,None,1.51643e-05,True,0.908146,True,True,True,
80,0.0,3.3,1,ss,wcs,None,000064,None,1.23542e-05,True,0.873273,True,True,True,
80,0.0,3.3,1,ss,bcs,None,000065,None,1.89435e-05,True,0.949449,True,True,True,
80,0.0,3.3,1,ff,typ,None,000066,None,1.43759e-05,True,0.793599,True,True,True,
80,0.0,3.3,1,ff,wcs,None,000067,None,1.17454e-05,True,0.761596,True,True,True,
80,0.0,3.3,1,ff,bcs,None,000068,None,1.79025e-05,True,0.83139,True,True,True,
80,0.0,3.3,1,sf,typ,None,000069,None,1.49926e-05,True,0.880301,True,True,True,
80,0.0,3.3,1,sf,wcs,None,000070,None,1.22231e-05,True,0.846132,True,True,True,
80,0.0,3.3,1,sf,bcs,None,000071,None,1.87147e-05,True,0.920742,True,True,True,
80,0.0,3.3,1,fs,typ,None,000072,None,1.45473e-05,True,0.822398,True,True,True,
80,0.0,3.3,1,fs,wcs,None,000073,None,1.18765e-05,True,0.789707,True,True,True,
80,0.0,3.3,1,fs,bcs,None,000074,None,1.81309e-05,True,0.861028,True,True,True,
80,0.0,3.2,1,tt,typ,None,000075,None,1.47396e-05,True,0.851628,True,True,True,
80,0.0,3.2,1,tt,wcs,None,000076,None,1.20241e-05,True,0.818213,True,True,True,
80,0.0,3.2,1,tt,bcs,None,000077,None,1.83859e-05,True,0.891141,True,True,True,
80,0.0,3.2,1,ss,typ,None,000078,None,1.513e-05,True,0.907735,True,True,True,
80,0.0,3.2,1,ss,wcs,None,000079,None,1.23258e-05,True,0.872888,True,True,True,
80,0.0,3.2,1,ss,bcs,None,000080,None,1.8901e-05,True,0.949002,True,True,True,
80,0.0,3.2,1,ff,typ,None,000081,None,1.43433e-05,True,0.793218,True,True,True,
80,0.0,3.2,1,ff,wcs,None,000082,None,1.17179e-05,True,0.761232,True,True,True,
80,0.0,3.2,1,ff,bcs,None,000083,None,1.7863e-05,True,0.830983,True,True,True,
80,0.0,3.2,1,sf,typ,None,000084,None,1.4959e-05,True,0.879901,True,True,True,
80,0.0,3.2,1,sf,wcs,None,000085,None,1.21949e-05,True,0.845754,True,True,True,
80,0.0,3.2,1,sf,bcs,None,000086,None,1.86736e-05,True,0.920312,True,True,True,
80,0.0,3.2,1,fs,typ,None,000087,None,1.45143e-05,True,0.822008,True,True,True,
80,0.0,3.2,1,fs,wcs,None,000088,None,1.18488e-05,True,0.789339,True,True,True,
80,0.0,3.2,1,fs,bcs,None,000089,None,1.80902e-05,True,0.860608,True,True,True,
