temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,ss,typ,5u,None,000001,None,1.11775e-05,True,0.885337,True,3.72863e-06,False,False,False,1.7911754289998498
27,0.0,3.2,1,fs,typ,5u,None,000009,None,1.09803e-05,True,0.806002,True,3.66296e-06,False,False,False,
27,0.0,3.3,1,tt,typ,5u,None,000000,None,1.10886e-05,True,0.833791,True,3.69935e-06,False,False,False,
27,0.0,3.3,1,ff,typ,5u,None,000002,None,1.10001e-05,True,0.779965,True,3.67018e-06,False,False,False,
27,0.0,3.3,1,sf,typ,5u,None,000003,None,1.11577e-05,True,0.859827,True,3.72245e-06,False,False,False,
27,0.0,3.3,1,fs,typ,5u,None,000004,None,1.10199e-05,True,0.806498,True,3.67634e-06,False,False,False,
27,0.0,3.2,1,tt,typ,5u,None,000005,None,1.10485e-05,True,0.833283,True,3.68577e-06,False,False,False,
27,0.0,3.2,1,ss,typ,5u,None,000006,None,1.11371e-05,True,0.884815,True,3.71494e-06,False,False,False,
27,0.0,3.2,1,ff,typ,5u,None,000007,None,1.09599e-05,True,0.779467,True,3.6566e-06,False,False,False,
0,0.0,3.3,1,ss,typ,5u,None,000011,None,1.05237e-05,True,0.890806,True,3.51057e-06,False,False,False,
0,0.0,3.3,1,ff,typ,5u,None,000012,None,1.03522e-05,True,0.785796,True,3.45406e-06,False,False,False,
27,0.0,3.2,1,sf,typ,5u,None,000008,None,1.11169e-05,True,0.859307,True,3.70866e-06,False,False,False,
0,0.0,3.3,1,tt,typ,5u,None,000010,None,1.04378e-05,True,0.83943,True,3.48223e-06,False,False,False,
0,0.0,3.3,1,sf,typ,5u,None,000013,None,1.05056e-05,True,0.865383,True,3.50493e-06,False,False,False,
0,0.0,3.3,1,fs,typ,5u,None,000014,None,1.03703e-05,True,0.812238,True,3.45967e-06,False,False,False,
0,0.0,3.2,1,tt,typ,5u,None,000015,None,1.03977e-05,True,0.838929,True,3.46871e-06,False,False,False,
0,0.0,3.2,1,ss,typ,5u,None,000016,None,1.04835e-05,True,0.890292,True,3.49697e-06,False,False,False,
0,0.0,3.2,1,ff,typ,5u,None,000017,None,1.03121e-05,True,0.785303,True,3.44049e-06,False,False,False,
0,0.0,3.2,1,sf,typ,5u,None,000018,None,1.0465e-05,True,0.86487,True,3.49121e-06,False,False,False,
0,0.0,3.2,1,fs,typ,5u,None,000019,None,1.03308e-05,True,0.811747,True,3.44631e-06,False,False,False,
80,0.0,3.3,1,tt,typ,5u,None,000020,None,1.24494e-05,True,0.823714,True,4.15326e-06,False,False,False,
80,0.0,3.3,1,ss,typ,5u,None,000021,None,1.25454e-05,True,0.875765,True,4.18486e-06,False,False,False,
80,0.0,3.3,1,ff,typ,5u,None,000022,None,1.23537e-05,True,0.769335,True,4.12175e-06,False,False,False,
80,0.0,3.3,1,sf,typ,5u,None,000023,None,1.25219e-05,True,0.850008,True,4.17753e-06,False,False,False,
80,0.0,3.3,1,fs,typ,5u,None,000024,None,1.23769e-05,True,0.796127,True,4.12901e-06,False,False,False,
80,0.0,3.2,1,tt,typ,5u,None,000025,None,1.24081e-05,True,0.823175,True,4.13925e-06,False,False,False,
80,0.0,3.2,1,ss,typ,5u,None,000026,None,1.25035e-05,True,0.875206,True,4.17064e-06,False,False,False,
80,0.0,3.2,1,ff,typ,5u,None,000027,None,1.23125e-05,True,0.768809,True,4.10782e-06,False,False,False,
80,0.0,3.2,1,sf,typ,5u,None,000028,None,1.24798e-05,True,0.849454,True,4.16327e-06,False,False,False,
80,0.0,3.2,1,fs,typ,5u,None,000029,None,1.23363e-05,True,0.795601,True,4.11523e-06,False,False,False,
