temp,seed,vdd,sigma,corner_mos,corner_res,w_load,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,iout,iout_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,tt,typ,5u,None,000000,None,2.8194e-06,True,0.685919,True,9.40928e-07,True,True,True,1.7526609920005285
27,0.0,3.2,1,ss,typ,5u,None,000006,None,2.81612e-06,True,0.732763,True,9.39695e-07,True,True,True,
27,0.0,3.2,1,ff,typ,5u,None,000007,None,2.80362e-06,True,0.636202,True,9.35711e-07,True,True,True,
27,0.0,3.3,1,sf,typ,5u,None,000003,None,2.82862e-06,True,0.709628,True,9.44028e-07,True,True,True,
27,0.0,3.2,1,sf,typ,5u,None,000008,None,2.81868e-06,True,0.709327,True,9.40664e-07,True,True,True,
0,0.0,3.3,1,tt,typ,5u,None,000010,None,2.61555e-06,True,0.700329,True,8.72884e-07,True,True,True,
27,0.0,3.3,1,ss,typ,5u,None,000001,None,2.82549e-06,True,0.73305,True,9.42865e-07,True,True,True,
27,0.0,3.3,1,ff,typ,5u,None,000002,None,2.81374e-06,True,0.6365,True,9.39135e-07,True,True,True,
27,0.0,3.3,1,fs,typ,5u,None,000004,None,2.8103e-06,True,0.660963,True,9.37868e-07,True,True,True,
27,0.0,3.2,1,tt,typ,5u,None,000005,None,2.8097e-06,True,0.685627,True,9.37643e-07,True,True,True,
27,0.0,3.2,1,fs,typ,5u,None,000009,None,2.80081e-06,True,0.66068,True,9.34656e-07,True,True,True,
0,0.0,3.3,1,ff,typ,5u,None,000012,None,2.6104e-06,True,0.650872,True,8.71254e-07,True,True,True,
0,0.0,3.3,1,ss,typ,5u,None,000011,None,2.6211e-06,True,0.747516,True,8.74651e-07,True,True,True,
0,0.0,3.3,1,sf,typ,5u,None,000013,None,2.62443e-06,True,0.724064,True,8.75868e-07,True,True,True,
0,0.0,3.3,1,fs,typ,5u,None,000014,None,2.6068e-06,True,0.675359,True,8.69944e-07,True,True,True,
0,0.0,3.2,1,tt,typ,5u,None,000015,None,2.60588e-06,True,0.700039,True,8.69615e-07,True,True,True,
0,0.0,3.2,1,ss,typ,5u,None,000016,None,2.61175e-06,True,0.747229,True,8.71487e-07,True,True,True,
0,0.0,3.2,1,ff,typ,5u,None,000017,None,2.60035e-06,True,0.650576,True,8.67858e-07,True,True,True,
0,0.0,3.2,1,sf,typ,5u,None,000018,None,2.61454e-06,True,0.723765,True,8.72525e-07,True,True,True,
0,0.0,3.2,1,fs,typ,5u,None,000019,None,2.59734e-06,True,0.675077,True,8.66743e-07,True,True,True,
80,0.0,3.3,1,tt,typ,5u,None,000020,None,3.22514e-06,True,0.65514,True,1.07637e-06,True,True,True,
80,0.0,3.3,1,ss,typ,5u,None,000021,None,3.23235e-06,True,0.702217,True,1.07867e-06,True,True,True,
80,0.0,3.3,1,ff,typ,5u,None,000022,None,3.21874e-06,True,0.605744,True,1.07435e-06,True,True,True,
80,0.0,3.3,1,sf,typ,5u,None,000023,None,3.23516e-06,True,0.67883,True,1.07975e-06,True,True,True,
80,0.0,3.3,1,fs,typ,5u,None,000024,None,3.21529e-06,True,0.630178,True,1.07306e-06,True,True,True,
80,0.0,3.2,1,ff,typ,5u,None,000027,None,3.2083e-06,True,0.605433,True,1.07082e-06,True,True,True,
80,0.0,3.2,1,sf,typ,5u,None,000028,None,3.22495e-06,True,0.678517,True,1.07629e-06,True,True,True,
80,0.0,3.2,1,fs,typ,5u,None,000029,None,3.2056e-06,True,0.629885,True,1.06978e-06,True,True,True,
80,0.0,3.2,1,tt,typ,5u,None,000025,None,3.21521e-06,True,0.654838,True,1.07301e-06,True,True,True,
80,0.0,3.2,1,ss,typ,5u,None,000026,None,3.22283e-06,True,0.701921,True,1.07544e-06,True,True,True,
