temp,seed,vdd,sigma,corner_mos,corner_res,res,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,tt,wcs,50000,None,000003,None,9.55267e-06,True,0.159485,True,True,True,4.2373177360004775
27,0.0,3.3,1,tt,wcs,10000,None,000004,None,9.55363e-06,True,0.0319067,True,True,True,
27,0.0,3.3,1,tt,wcs,80000,None,000005,None,9.55209e-06,True,0.25513,True,True,True,
27,0.0,3.3,1,ss,typ,50000,None,000009,None,1.20291e-05,True,0.200802,True,True,True,
27,0.0,3.3,1,ss,typ,10000,None,000010,None,1.20305e-05,True,0.0401737,True,True,True,
27,0.0,3.3,1,ss,typ,80000,None,000011,None,1.20283e-05,True,0.321219,True,True,True,
27,0.0,3.3,1,sf,typ,50000,None,000027,None,1.18725e-05,True,0.198207,True,True,True,
27,0.0,3.3,1,sf,typ,10000,None,000028,None,1.18738e-05,True,0.0396546,True,True,True,
27,0.0,3.3,1,sf,typ,80000,None,000029,None,1.18717e-05,True,0.317067,True,True,True,
27,0.0,3.3,1,tt,bcs,50000,None,000006,None,1.45698e-05,True,0.243203,True,True,True,
27,0.0,3.3,1,tt,bcs,10000,None,000007,None,1.45716e-05,True,0.0486584,True,True,True,
27,0.0,3.3,1,tt,bcs,80000,None,000008,None,1.45687e-05,True,0.389039,True,True,True,
27,0.0,3.3,1,ss,wcs,50000,None,000012,None,9.81098e-06,True,0.163789,True,True,True,
27,0.0,3.3,1,ss,wcs,10000,None,000013,None,9.81197e-06,True,0.0327676,True,True,True,
27,0.0,3.3,1,ss,wcs,80000,None,000014,None,9.81038e-06,True,0.262014,True,True,True,
27,0.0,3.3,1,ff,typ,50000,None,000018,None,1.13628e-05,True,0.189701,True,True,True,
27,0.0,3.3,1,ff,typ,10000,None,000019,None,1.13641e-05,True,0.0379526,True,True,True,
27,0.0,3.3,1,ff,typ,80000,None,000020,None,1.13621e-05,True,0.303461,True,True,True,
27,0.0,3.3,1,ff,bcs,50000,None,000024,None,1.41322e-05,True,0.235912,True,True,True,
27,0.0,3.3,1,ff,bcs,10000,None,000025,None,1.41339e-05,True,0.0471994,True,True,True,
27,0.0,3.3,1,ff,bcs,80000,None,000026,None,1.41312e-05,True,0.377375,True,True,True,
27,0.0,3.3,1,tt,typ,50000,None,000000,None,1.16978e-05,True,0.195282,True,True,True,
27,0.0,3.3,1,tt,typ,10000,None,000001,None,1.16991e-05,True,0.0390693,True,True,True,
27,0.0,3.3,1,tt,typ,80000,None,000002,None,1.1697e-05,True,0.312389,True,True,True,
27,0.0,3.3,1,ss,bcs,50000,None,000015,None,1.50028e-05,True,0.250419,True,True,True,
27,0.0,3.3,1,ss,bcs,10000,None,000016,None,1.50047e-05,True,0.050102,True,True,True,
27,0.0,3.3,1,ss,bcs,80000,None,000017,None,1.50017e-05,True,0.40058,True,True,True,
27,0.0,3.3,1,ff,wcs,50000,None,000021,None,9.29145e-06,True,0.155133,True,True,True,
27,0.0,3.3,1,ff,wcs,10000,None,000022,None,9.29238e-06,True,0.031036,True,True,True,
27,0.0,3.3,1,ff,wcs,80000,None,000023,None,9.29088e-06,True,0.248168,True,True,True,
27,0.0,3.3,1,sf,wcs,50000,None,000030,None,9.6895e-06,True,0.161777,True,True,True,
27,0.0,3.3,1,sf,wcs,10000,None,000031,None,9.69048e-06,True,0.0323652,True,True,True,
27,0.0,3.3,1,sf,wcs,80000,None,000032,None,9.6889e-06,True,0.258795,True,True,True,
27,0.0,3.3,1,sf,bcs,50000,None,000033,None,1.47972e-05,True,0.247009,True,True,True,
27,0.0,3.3,1,sf,bcs,10000,None,000034,None,1.4799e-05,True,0.04942,True,True,True,
27,0.0,3.3,1,sf,bcs,80000,None,000035,None,1.47961e-05,True,0.395126,True,True,True,
27,0.0,3.3,1,fs,typ,50000,None,000036,None,1.15189e-05,True,0.192287,True,True,True,
27,0.0,3.3,1,fs,typ,10000,None,000037,None,1.15202e-05,True,0.03847,True,True,True,
27,0.0,3.3,1,fs,typ,80000,None,000038,None,1.15182e-05,True,0.307599,True,True,True,
27,0.0,3.3,1,fs,wcs,50000,None,000039,None,9.41266e-06,True,0.157141,True,True,True,
27,0.0,3.3,1,fs,wcs,10000,None,000040,None,9.41359e-06,True,0.0314375,True,True,True,
27,0.0,3.3,1,fs,wcs,80000,None,000041,None,9.41208e-06,True,0.25138,True,True,True,
27,0.0,3.3,1,fs,bcs,50000,None,000042,None,1.43368e-05,True,0.239304,True,True,True,
27,0.0,3.3,1,fs,bcs,10000,None,000043,None,1.43386e-05,True,0.047878,True,True,True,
27,0.0,3.3,1,fs,bcs,80000,None,000044,None,1.43358e-05,True,0.382803,True,True,True,
27,0.0,3.2,1,tt,typ,50000,None,000045,None,1.16854e-05,True,0.195063,True,True,True,
27,0.0,3.2,1,tt,typ,10000,None,000046,None,1.16865e-05,True,0.0390235,True,True,True,
27,0.0,3.2,1,tt,typ,80000,None,000047,None,1.16847e-05,True,0.312044,True,True,True,
27,0.0,3.2,1,tt,wcs,50000,None,000048,None,9.54214e-06,True,0.159298,True,True,True,
27,0.0,3.2,1,tt,wcs,10000,None,000049,None,9.54294e-06,True,0.0318675,True,True,True,
27,0.0,3.2,1,tt,wcs,80000,None,000050,None,9.54163e-06,True,0.254835,True,True,True,
27,0.0,3.2,1,tt,bcs,50000,None,000051,None,1.45548e-05,True,0.242941,True,True,True,
27,0.0,3.2,1,tt,bcs,10000,None,000052,None,1.45563e-05,True,0.0486036,True,True,True,
27,0.0,3.2,1,tt,bcs,80000,None,000053,None,1.45537e-05,True,0.388623,True,True,True,
27,0.0,3.2,1,ss,typ,50000,None,000054,None,1.20164e-05,True,0.200579,True,True,True,
27,0.0,3.2,1,ss,typ,10000,None,000055,None,1.20176e-05,True,0.0401271,True,True,True,
27,0.0,3.2,1,ss,typ,80000,None,000056,None,1.20157e-05,True,0.320868,True,True,True,
27,0.0,3.2,1,ss,wcs,50000,None,000057,None,9.80035e-06,True,0.1636,True,True,True,
27,0.0,3.2,1,ss,wcs,10000,None,000058,None,9.80118e-06,True,0.0327282,True,True,True,
27,0.0,3.2,1,ss,wcs,80000,None,000059,None,9.79983e-06,True,0.261718,True,True,True,
27,0.0,3.2,1,ss,bcs,50000,None,000060,None,1.49873e-05,True,0.250148,True,True,True,
27,0.0,3.2,1,ss,bcs,10000,None,000061,None,1.49889e-05,True,0.0500457,True,True,True,
27,0.0,3.2,1,ss,bcs,80000,None,000062,None,1.49862e-05,True,0.400151,True,True,True,
27,0.0,3.2,1,ff,typ,50000,None,000063,None,1.13505e-05,True,0.189483,True,True,True,
27,0.0,3.2,1,ff,typ,10000,None,000064,None,1.13516e-05,True,0.0379072,True,True,True,
27,0.0,3.2,1,ff,typ,80000,None,000065,None,1.13499e-05,True,0.303119,True,True,True,
27,0.0,3.2,1,ff,wcs,50000,None,000066,None,9.2809e-06,True,0.154945,True,True,True,
27,0.0,3.2,1,ff,wcs,10000,None,000067,None,9.28167e-06,True,0.0309967,True,True,True,
27,0.0,3.2,1,ff,wcs,80000,None,000068,None,9.2804e-06,True,0.247872,True,True,True,
27,0.0,3.2,1,ff,bcs,50000,None,000069,None,1.41175e-05,True,0.235654,True,True,True,
