time,iout
0.0,8.72358415e-07
1e-10,8.72358415e-07
2e-10,8.72358415e-07
4e-10,8.72358415e-07
8e-10,8.72358415e-07
1.6e-09,8.72358415e-07
3.2e-09,8.72358415e-07
6.4e-09,8.72358415e-07
1.28e-08,8.72358415e-07
2.28e-08,8.72358415e-07
3.28e-08,8.72358415e-07
4.28e-08,8.72358415e-07
5.28e-08,8.72358415e-07
6.28e-08,8.72358415e-07
7.28e-08,8.72358415e-07
8.28e-08,8.72358415e-07
9.28e-08,8.72358415e-07
1.028e-07,8.72358415e-07
1.128e-07,8.72358415e-07
1.228e-07,8.72358415e-07
1.328e-07,8.72358415e-07
1.428e-07,8.72358415e-07
1.528e-07,8.72358415e-07
1.628e-07,8.72358415e-07
1.728e-07,8.72358415e-07
1.828e-07,8.72358415e-07
1.928e-07,8.72358415e-07
2.028e-07,8.72358415e-07
2.128e-07,8.72358415e-07
2.228e-07,8.72358415e-07
2.328e-07,8.72358415e-07
2.428e-07,8.72358415e-07
2.528e-07,8.72358415e-07
2.628e-07,8.72358415e-07
2.728e-07,8.72358415e-07
2.828e-07,8.72358415e-07
2.928e-07,8.72358415e-07
3.028e-07,8.72358415e-07
3.128e-07,8.72358415e-07
3.228e-07,8.72358415e-07
3.328e-07,8.72358415e-07
3.428e-07,8.72358415e-07
3.528e-07,8.72358415e-07
3.628e-07,8.72358415e-07
3.728e-07,8.72358415e-07
3.828e-07,8.72358415e-07
3.928e-07,8.72358415e-07
4.028e-07,8.72358415e-07
4.128e-07,8.72358415e-07
4.228e-07,8.72358415e-07
4.328e-07,8.72358415e-07
4.428e-07,8.72358415e-07
4.528e-07,8.72358415e-07
4.628e-07,8.72358415e-07
4.728e-07,8.72358415e-07
4.828e-07,8.72358415e-07
4.928e-07,8.72358415e-07
5.028e-07,8.72358415e-07
5.128e-07,8.72358415e-07
5.228e-07,8.72358415e-07
5.328e-07,8.72358415e-07
5.428e-07,8.72358415e-07
5.528e-07,8.72358415e-07
5.628e-07,8.72358415e-07
5.728e-07,8.72358415e-07
5.828e-07,8.72358415e-07
5.928e-07,8.72358415e-07
6.028e-07,8.72358415e-07
6.128e-07,8.72358415e-07
6.228e-07,8.72358415e-07
6.328e-07,8.72358415e-07
6.428e-07,8.72358415e-07
6.528e-07,8.72358415e-07
6.628e-07,8.72358415e-07
6.728e-07,8.72358415e-07
6.828e-07,8.72358415e-07
6.928e-07,8.72358415e-07
7.028e-07,8.72358415e-07
7.128e-07,8.72358415e-07
7.228e-07,8.72358415e-07
7.328e-07,8.72358415e-07
7.428e-07,8.72358415e-07
7.528e-07,8.72358415e-07
7.628e-07,8.72358415e-07
7.728e-07,8.72358415e-07
7.828e-07,8.72358415e-07
7.928e-07,8.72358415e-07
8.028e-07,8.72358415e-07
