time,iout
0.0,2.88743908e-12
1e-10,2.53371624e-12
2e-10,2.36201457e-12
4e-10,2.05034946e-12
6.7841236e-10,8.03198423e-13
9.3509976e-10,1.62433007e-13
1.17769408e-09,4.47043883e-14
1.48929154e-09,8.823061880000001e-15
2.11248644e-09,1.5817999200000002e-15
3.35887626e-09,6.41723044e-13
4.51513234e-09,1.22151039e-08
5.30766011e-09,1.12460963e-06
6.09241542e-09,4.9464306e-06
6.84946454e-09,9.56838021e-06
7.66616643e-09,1.33639613e-05
9.03308497e-09,1.65809441e-05
1.05329485e-08,1.78055038e-05
1.22652595e-08,1.8437713e-05
1.47641218e-08,1.92735105e-05
1.90418084e-08,2.08795835e-05
2.29885471e-08,2.2467838e-05
2.61579716e-08,2.32329502e-05
2.93644465e-08,2.09649352e-05
3.17957123e-08,1.72769152e-05
3.47737377e-08,1.28711857e-05
3.65390619e-08,1.08217303e-05
3.853557e-08,9.04398461e-06
4.10065995e-08,7.46928927e-06
4.41015482e-08,6.1440511e-06
5.01991889e-08,4.61324593e-06
5.60429804e-08,3.82444226e-06
6.60429804e-08,3.064612e-06
7.60429804e-08,2.62911323e-06
8.60429804e-08,2.3378016e-06
9.60429804e-08,2.1219136e-06
1.0604298e-07,1.95339925e-06
1.1604298e-07,1.81849563e-06
1.2604298e-07,1.70877044e-06
1.3604298e-07,1.61876323e-06
1.4604298e-07,1.54357041e-06
1.5604298e-07,1.48000283e-06
1.6604298e-07,1.42566284e-06
1.7604298e-07,1.37873942e-06
1.8604298e-07,1.33787047e-06
1.9604298e-07,1.3020168e-06
2.0604298e-07,1.27036767e-06
2.1604298e-07,1.24227794e-06
2.2604298e-07,1.21722661e-06
2.3604298e-07,1.1947882e-06
2.4604298e-07,1.17461201e-06
2.5604298e-07,1.15640642e-06
2.6604298e-07,1.13992703e-06
2.7604298e-07,1.12496746e-06
2.8604298e-07,1.11135226e-06
2.9604298e-07,1.09893128e-06
3.0604298e-07,1.0875753e-06
3.1604298e-07,1.07717252e-06
3.2604298e-07,1.06762568e-06
3.3604298e-07,1.05884982e-06
3.4604298e-07,1.05077038e-06
3.5604298e-07,1.04332163e-06
3.6604298e-07,1.03644545e-06
3.7604298e-07,1.03009026e-06
3.8604298e-07,1.02421008e-06
3.9604298e-07,1.01876386e-06
4.0604298e-07,1.0137148e-06
4.1604298e-07,1.00902983e-06
4.2604298e-07,1.00467917e-06
4.3604298e-07,1.00063591e-06
4.4604298e-07,9.96875688e-07
4.5604298e-07,9.93376414e-07
4.6604298e-07,9.90118002e-07
4.7604298e-07,9.8708216e-07
4.8604298e-07,9.84252194e-07
4.9604298e-07,9.81612851e-07
5.0604298e-07,9.79150163e-07
5.1604298e-07,9.76851326e-07
5.2604298e-07,9.74704585e-07
5.3604298e-07,9.7269913e-07
5.4604298e-07,9.70825013e-07
5.5604298e-07,9.69073064e-07
5.6604298e-07,9.67434822e-07
5.7604298e-07,9.65902473e-07
5.8604298e-07,9.64468792e-07
5.9604298e-07,9.63127093e-07
6.0604298e-07,9.61871183e-07
6.1604298e-07,9.60695322e-07
6.2604298e-07,9.59594182e-07
6.3604298e-07,9.5856282e-07
6.4604298e-07,9.57596642e-07
6.5604298e-07,9.56691375e-07
6.6604298e-07,9.55843049e-07
6.7604298e-07,9.55047964e-07
6.8604298e-07,9.54302676e-07
6.9604298e-07,9.53603977e-07
7.0604298e-07,9.52948876e-07
7.1604298e-07,9.52334581e-07
7.2604298e-07,9.51758491e-07
7.3604298e-07,9.51218176e-07
7.4604298e-07,9.50711365e-07
7.5604298e-07,9.50235941e-07
7.6604298e-07,9.49789923e-07
7.7604298e-07,9.4937146e-07
7.8604298e-07,9.4897882e-07
7.9604298e-07,9.48610386e-07
8.0604298e-07,9.48264643e-07
8.1604298e-07,9.47940175e-07
8.2604298e-07,9.47635655e-07
8.3604298e-07,9.47349841e-07
8.4604298e-07,9.47081572e-07
8.5604298e-07,9.46829758e-07
8.6604298e-07,9.46593381e-07
8.7604298e-07,9.46371484e-07
8.8604298e-07,9.46163173e-07
8.9604298e-07,9.45967608e-07
9.0604298e-07,9.45784005e-07
9.1604298e-07,9.45611625e-07
9.2604298e-07,9.45449778e-07
9.3604298e-07,9.45297815e-07
9.4604298e-07,9.45155131e-07
9.5604298e-07,9.45021153e-07
9.6604298e-07,9.4489535e-07
9.7604298e-07,9.44777218e-07
9.8604298e-07,9.44666289e-07
9.9604298e-07,9.44562121e-07
1.00604298e-06,9.444643e-07
1.01604298e-06,9.44372437e-07
1.02604298e-06,9.44286169e-07
1.03604298e-06,9.44205154e-07
1.04604298e-06,9.44129071e-07
1.05604298e-06,9.44057618e-07
1.06604298e-06,9.43990512e-07
1.07604298e-06,9.4392749e-07
1.08604298e-06,9.43868301e-07
1.09604298e-06,9.43812712e-07
1.10604298e-06,9.43760503e-07
1.11604298e-06,9.43711469e-07
1.12604298e-06,9.43665416e-07
1.13604298e-06,9.43622162e-07
