time,iout
0.0,1.07873458e-11
1e-10,1.07873454e-11
2e-10,1.07873451e-11
4e-10,1.07873445e-11
8e-10,1.07873433e-11
1.6e-09,1.07873409e-11
3.2e-09,1.07873362e-11
6.4e-09,1.07873267e-11
1.28e-08,1.07873077e-11
2.28e-08,1.0787278e-11
3.28e-08,1.07872483e-11
4.28e-08,1.07872187e-11
5.28e-08,1.0787189e-11
6.28e-08,1.07871593e-11
7.28e-08,1.07871296e-11
8.28e-08,1.07870999e-11
9.28e-08,1.07870702e-11
1.028e-07,1.07870405e-11
1.128e-07,1.07870108e-11
1.228e-07,1.07869811e-11
1.328e-07,1.07869515e-11
1.428e-07,1.07869218e-11
1.528e-07,1.07868921e-11
1.628e-07,1.07868624e-11
1.728e-07,1.07868327e-11
1.828e-07,1.07868029e-11
1.928e-07,1.07867732e-11
2.028e-07,1.07867435e-11
2.128e-07,1.07867138e-11
2.228e-07,1.07866841e-11
2.328e-07,1.07866544e-11
2.428e-07,1.07866247e-11
2.528e-07,1.0786595e-11
2.628e-07,1.07865653e-11
2.728e-07,1.07865355e-11
2.828e-07,1.07865058e-11
2.928e-07,1.07864761e-11
3.028e-07,1.07864464e-11
3.128e-07,1.07864166e-11
3.228e-07,1.07863869e-11
3.328e-07,1.07863572e-11
3.428e-07,1.07863274e-11
3.528e-07,1.07862977e-11
3.628e-07,1.0786268e-11
3.728e-07,1.07862382e-11
3.828e-07,1.07862085e-11
3.928e-07,1.07861788e-11
4.028e-07,1.0786149e-11
4.128e-07,1.07861193e-11
4.228e-07,1.07860895e-11
4.328e-07,1.07860598e-11
4.428e-07,1.078603e-11
4.528e-07,1.07860003e-11
4.628e-07,1.07859705e-11
4.728e-07,1.07859408e-11
4.828e-07,1.0785911e-11
4.928e-07,1.07858813e-11
5.028e-07,1.07858515e-11
5.128e-07,1.07858217e-11
5.228e-07,1.0785792e-11
5.328e-07,1.07857622e-11
5.428e-07,1.07857325e-11
5.528e-07,1.07857027e-11
5.628e-07,1.07856729e-11
5.728e-07,1.07856431e-11
5.828e-07,1.07856134e-11
5.928e-07,1.07855836e-11
6.028e-07,1.07855538e-11
6.128e-07,1.0785524e-11
6.228e-07,1.07854943e-11
6.328e-07,1.07854645e-11
6.428e-07,1.07854347e-11
6.528e-07,1.07854049e-11
6.628e-07,1.07853751e-11
6.728e-07,1.07853453e-11
6.828e-07,1.07853156e-11
6.928e-07,1.07852858e-11
7.028e-07,1.0785256e-11
7.128e-07,1.07852262e-11
7.228e-07,1.07851964e-11
7.328e-07,1.07851666e-11
7.428e-07,1.07851368e-11
7.528e-07,1.0785107e-11
7.628e-07,1.07850772e-11
7.728e-07,1.07850474e-11
7.828e-07,1.07850176e-11
7.928e-07,1.07849878e-11
8.028e-07,1.0784958e-11
8.128e-07,1.07849281e-11
8.228e-07,1.07848983e-11
8.328e-07,1.07848685e-11
8.428e-07,1.07848387e-11
8.528e-07,1.07848089e-11
8.628e-07,1.07847791e-11
8.728e-07,1.07847492e-11
8.828e-07,1.07847194e-11
8.928e-07,1.07846896e-11
9.028e-07,1.07846598e-11
9.128e-07,1.07846299e-11
9.228e-07,1.07846001e-11
9.328e-07,1.07845703e-11
9.428e-07,1.07845404e-11
9.528e-07,1.07845106e-11
9.628e-07,1.07844808e-11
9.728e-07,1.07844509e-11
9.828e-07,1.07844211e-11
9.928e-07,1.07843912e-11
1.0028e-06,1.07843614e-11
1.0128e-06,1.07843316e-11
1.0228e-06,1.07843017e-11
1.0328e-06,1.07842719e-11
1.0428e-06,1.0784242e-11
1.0528e-06,1.07842122e-11
1.0628e-06,1.07841823e-11
1.0728e-06,1.07841524e-11
1.0828e-06,1.07841226e-11
1.0928e-06,1.07840927e-11
1.1028e-06,1.07840629e-11
1.1128e-06,1.0784033e-11
1.1228e-06,1.07840031e-11
1.1328e-06,1.07839733e-11
1.1428e-06,1.07839434e-11
1.1528e-06,1.07839135e-11
1.1628e-06,1.07838837e-11
1.1728e-06,1.07838538e-11
1.1828e-06,1.07838239e-11
1.1928e-06,1.0783794e-11
1.2028e-06,1.07837642e-11
1.2128e-06,1.07837343e-11
1.2228e-06,1.07837044e-11
1.2328e-06,1.07836745e-11
1.2428e-06,1.07836446e-11
1.2528e-06,1.07836147e-11
1.2628e-06,1.07835849e-11
1.2728e-06,1.0783555e-11
1.2828e-06,1.07835251e-11
1.2928e-06,1.07834952e-11
1.3028e-06,1.07834653e-11
1.3128e-06,1.07834354e-11
1.3228e-06,1.07834055e-11
1.3328e-06,1.07833756e-11
1.3428e-06,1.07833457e-11
1.3528e-06,1.07833158e-11
1.3628e-06,1.07832859e-11
1.3728e-06,1.0783256e-11
1.3828e-06,1.07832261e-11
1.3928e-06,1.07831962e-11
1.4028e-06,1.07831663e-11
1.4128e-06,1.07831363e-11
1.4228e-06,1.07831064e-11
1.4328e-06,1.07830765e-11
1.4428e-06,1.07830466e-11
1.4528e-06,1.07830167e-11
1.4628e-06,1.07829867e-11
1.4728e-06,1.07829568e-11
1.4828e-06,1.07829269e-11
1.4928e-06,1.0782897e-11
1.5028e-06,1.0782867e-11
1.5128e-06,1.07828371e-11
1.5228e-06,1.07828072e-11
1.5328e-06,1.07827773e-11
1.5428e-06,1.07827473e-11
1.5528e-06,1.07827174e-11
1.5628e-06,1.07826874e-11
1.5728e-06,1.07826575e-11
1.5828e-06,1.07826276e-11
1.5928e-06,1.07825976e-11
1.6028e-06,1.07825677e-11
1.6128e-06,1.07825377e-11
1.6228e-06,1.07825078e-11
1.6328e-06,1.07824778e-11
1.6428e-06,1.07824479e-11
1.6528e-06,1.07824179e-11
1.6628e-06,1.0782388e-11
1.6728e-06,1.0782358e-11
1.6828e-06,1.0782328e-11
1.6928e-06,1.07822981e-11
1.7028e-06,1.07822681e-11
1.7128e-06,1.07822382e-11
1.7228e-06,1.07822082e-11
1.7328e-06,1.07821782e-11
1.7428e-06,1.07821483e-11
1.7528e-06,1.07821183e-11
1.7628e-06,1.07820883e-11
1.7728e-06,1.07820583e-11
1.7828e-06,1.07820284e-11
1.7928e-06,1.07819984e-11
1.8028e-06,1.07819684e-11
1.8128e-06,1.07819384e-11
1.8228e-06,1.07819085e-11
1.8328e-06,1.07818785e-11
1.8428e-06,1.07818485e-11
1.8528e-06,1.07818185e-11
1.8628e-06,1.07817885e-11
1.8728e-06,1.07817585e-11
1.8828e-06,1.07817285e-11
1.8928e-06,1.07816985e-11
1.9028e-06,1.07816685e-11
1.9128e-06,1.07816385e-11
1.9228e-06,1.07816085e-11
1.9328e-06,1.07815785e-11
1.9428e-06,1.07815485e-11
1.9528e-06,1.07815185e-11
1.9628e-06,1.07814885e-11
1.9728e-06,1.07814585e-11
1.9828e-06,1.07814285e-11
1.9928e-06,1.07813985e-11
2.0028e-06,1.07813685e-11
2.0128e-06,1.07813385e-11
2.0228e-06,1.07813085e-11
2.0328e-06,1.07812784e-11
2.0428e-06,1.07812484e-11
2.0528e-06,1.07812184e-11
2.0628e-06,1.07811884e-11
2.0728e-06,1.07811584e-11
2.0828e-06,1.07811283e-11
2.0928e-06,1.07810983e-11
2.1028e-06,1.07810683e-11
2.1128e-06,1.07810383e-11
2.1228e-06,1.07810082e-11
2.1328e-06,1.07809782e-11
2.1428e-06,1.07809482e-11
2.1528e-06,1.07809181e-11
2.1628e-06,1.07808881e-11
2.1728e-06,1.0780858e-11
2.1828e-06,1.0780828e-11
2.1928e-06,1.07807979e-11
2.2028e-06,1.07807679e-11
2.2128e-06,1.07807379e-11
2.2228e-06,1.07807078e-11
2.2328e-06,1.07806778e-11
2.2428e-06,1.07806477e-11
2.2528e-06,1.07806177e-11
2.2628e-06,1.07805876e-11
2.2728e-06,1.07805575e-11
2.2828e-06,1.07805275e-11
2.2928e-06,1.07804974e-11
2.3028e-06,1.07804674e-11
2.3128e-06,1.07804373e-11
2.3228e-06,1.07804072e-11
2.3328e-06,1.07803772e-11
2.3428e-06,1.07803471e-11
2.3528e-06,1.0780317e-11
2.3628e-06,1.0780287e-11
2.3728e-06,1.07802569e-11
2.3828e-06,1.07802268e-11
2.3928e-06,1.07801967e-11
2.4028e-06,1.07801666e-11
2.4128e-06,1.07801366e-11
2.4228e-06,1.07801065e-11
2.4328e-06,1.07800764e-11
2.4428e-06,1.07800463e-11
2.4528e-06,1.07800162e-11
2.4628e-06,1.07799861e-11
2.4728e-06,1.07799561e-11
2.4828e-06,1.0779926e-11
2.4928e-06,1.07798959e-11
2.5028e-06,1.07798658e-11
2.5128e-06,1.07798357e-11
2.5228e-06,1.07798056e-11
2.5328e-06,1.07797755e-11
2.5428e-06,1.07797454e-11
2.5528e-06,1.07797153e-11
2.5628e-06,1.07796852e-11
2.5728e-06,1.07796551e-11
2.5828e-06,1.0779625e-11
2.5928e-06,1.07795948e-11
2.6028e-06,1.07795647e-11
2.6128e-06,1.07795346e-11
2.6228e-06,1.07795045e-11
2.6328e-06,1.07794744e-11
2.6428e-06,1.07794443e-11
2.6528e-06,1.07794141e-11
2.6628e-06,1.0779384e-11
2.6728e-06,1.07793539e-11
2.6828e-06,1.07793238e-11
2.6928e-06,1.07792937e-11
2.7028e-06,1.07792635e-11
2.7128e-06,1.07792334e-11
2.7228e-06,1.07792033e-11
2.7328e-06,1.07791731e-11
2.7428e-06,1.0779143e-11
2.7528e-06,1.07791129e-11
2.7628e-06,1.07790827e-11
2.7728e-06,1.07790526e-11
2.7828e-06,1.07790224e-11
2.7928e-06,1.07789923e-11
2.8028e-06,1.07789622e-11
2.8128e-06,1.0778932e-11
2.8228e-06,1.07789019e-11
2.8328e-06,1.07788717e-11
2.8428e-06,1.07788416e-11
2.8528e-06,1.07788114e-11
2.8628e-06,1.07787812e-11
2.8728e-06,1.07787511e-11
2.8828e-06,1.07787209e-11
2.8928e-06,1.07786908e-11
2.9028e-06,1.07786606e-11
2.9128e-06,1.07786304e-11
2.9228e-06,1.07786003e-11
2.9328e-06,1.07785701e-11
2.9428e-06,1.077854e-11
2.9528e-06,1.07785098e-11
2.9628e-06,1.07784796e-11
2.9728e-06,1.07784494e-11
2.9828e-06,1.07784193e-11
2.9928e-06,1.07783891e-11
3.0028e-06,1.07783589e-11
3.0128e-06,1.07783287e-11
3.0228e-06,1.07782985e-11
3.0328e-06,1.07782684e-11
3.0428e-06,1.07782382e-11
3.0528e-06,1.0778208e-11
3.0628e-06,1.07781778e-11
3.0728e-06,1.07781476e-11
3.0828e-06,1.07781174e-11
3.0928e-06,1.07780872e-11
3.1028e-06,1.0778057e-11
3.1128e-06,1.07780268e-11
3.1228e-06,1.07779966e-11
3.1328e-06,1.07779665e-11
3.1428e-06,1.07779363e-11
3.1528e-06,1.0777906e-11
3.1628e-06,1.07778758e-11
3.1728e-06,1.07778456e-11
3.1828e-06,1.07778154e-11
3.1928e-06,1.07777852e-11
3.2028e-06,1.0777755e-11
3.2128e-06,1.07777248e-11
3.2228e-06,1.07776946e-11
3.2328e-06,1.07776644e-11
3.2428e-06,1.07776342e-11
3.2528e-06,1.07776039e-11
3.2628e-06,1.07775737e-11
3.2728e-06,1.07775435e-11
3.2828e-06,1.07775133e-11
3.2928e-06,1.0777483e-11
3.3028e-06,1.07774528e-11
3.3128e-06,1.07774226e-11
3.3228e-06,1.07773924e-11
3.3328e-06,1.07773621e-11
3.3428e-06,1.07773319e-11
3.3528e-06,1.07773017e-11
3.3628e-06,1.07772714e-11
3.3728e-06,1.07772412e-11
3.3828e-06,1.07772109e-11
3.3928e-06,1.07771807e-11
3.4028e-06,1.07771505e-11
3.4128e-06,1.07771202e-11
3.4228e-06,1.077709e-11
3.4328e-06,1.07770597e-11
3.4428e-06,1.07770295e-11
3.4528e-06,1.07769992e-11
3.4628e-06,1.0776969e-11
3.4728e-06,1.07769387e-11
3.4828e-06,1.07769085e-11
3.4928e-06,1.07768782e-11
3.5028e-06,1.07768479e-11
3.5128e-06,1.07768177e-11
3.5228e-06,1.07767874e-11
3.5328e-06,1.07767572e-11
3.5428e-06,1.07767269e-11
3.5528e-06,1.07766966e-11
3.5628e-06,1.07766663e-11
3.5728e-06,1.07766361e-11
3.5828e-06,1.07766058e-11
3.5928e-06,1.07765755e-11
3.6028e-06,1.07765453e-11
3.6128e-06,1.0776515e-11
3.6228e-06,1.07764847e-11
3.6328e-06,1.07764544e-11
3.6428e-06,1.07764241e-11
3.6528e-06,1.07763939e-11
3.6628e-06,1.07763636e-11
3.6728e-06,1.07763333e-11
3.6828e-06,1.0776303e-11
3.6928e-06,1.07762727e-11
3.7028e-06,1.07762424e-11
3.7128e-06,1.07762121e-11
3.7228e-06,1.07761818e-11
3.7328e-06,1.07761515e-11
3.7428e-06,1.07761212e-11
3.7528e-06,1.07760909e-11
3.7628e-06,1.07760606e-11
3.7728e-06,1.07760303e-11
3.7828e-06,1.0776e-11
3.7928e-06,1.07759697e-11
3.8028e-06,1.07759394e-11
3.8128e-06,1.07759091e-11
3.8228e-06,1.07758788e-11
3.8328e-06,1.07758485e-11
3.8428e-06,1.07758182e-11
3.8528e-06,1.07757878e-11
3.8628e-06,1.07757575e-11
3.8728e-06,1.07757272e-11
3.8828e-06,1.07756969e-11
3.8928e-06,1.07756666e-11
3.9028e-06,1.07756362e-11
3.9128e-06,1.07756059e-11
3.9228e-06,1.07755756e-11
3.9328e-06,1.07755452e-11
3.9428e-06,1.07755149e-11
3.9528e-06,1.07754846e-11
3.9628e-06,1.07754542e-11
3.9728e-06,1.07754239e-11
3.9828e-06,1.07753936e-11
3.9928e-06,1.07753632e-11
4.0028e-06,1.07753329e-11
4.0128e-06,1.07753026e-11
4.0228e-06,1.07752722e-11
4.0328e-06,1.07752419e-11
4.0428e-06,1.07752115e-11
4.0528e-06,1.07751812e-11
4.0628e-06,1.07751508e-11
4.0728e-06,1.07751205e-11
4.0828e-06,1.07750901e-11
4.0928e-06,1.07750598e-11
4.1028e-06,1.07750294e-11
4.1128e-06,1.0774999e-11
4.1228e-06,1.07749687e-11
4.1328e-06,1.07749383e-11
4.1428e-06,1.0774908e-11
4.1528e-06,1.07748776e-11
4.1628e-06,1.07748472e-11
4.1728e-06,1.07748169e-11
4.1828e-06,1.07747865e-11
4.1928e-06,1.07747561e-11
4.2028e-06,1.07747257e-11
4.2128e-06,1.07746954e-11
4.2228e-06,1.0774665e-11
4.2328e-06,1.07746346e-11
4.2428e-06,1.07746042e-11
4.2528e-06,1.07745739e-11
4.2628e-06,1.07745435e-11
4.2728e-06,1.07745131e-11
4.2828e-06,1.07744827e-11
4.2928e-06,1.07744523e-11
4.3028e-06,1.07744219e-11
4.3128e-06,1.07743915e-11
4.3228e-06,1.07743611e-11
4.3328e-06,1.07743307e-11
4.3428e-06,1.07743003e-11
4.3528e-06,1.077427e-11
4.3628e-06,1.07742396e-11
4.3728e-06,1.07742092e-11
4.3828e-06,1.07741788e-11
