time,iout
0.0,3.0597813e-12
1e-10,3.05978014e-12
2e-10,3.05977942e-12
4e-10,3.05977794e-12
8e-10,3.05977497e-12
1.6e-09,3.05976903e-12
3.2e-09,3.05975714e-12
6.4e-09,3.05973338e-12
1.28e-08,3.05968585e-12
2.28e-08,3.0596116e-12
3.28e-08,3.05953737e-12
4.28e-08,3.05946316e-12
5.28e-08,3.05938897e-12
6.28e-08,3.05931479e-12
7.28e-08,3.05924064e-12
8.28e-08,3.0591665e-12
9.28e-08,3.05909238e-12
1.028e-07,3.05901828e-12
1.128e-07,3.0589442e-12
1.228e-07,3.05887014e-12
1.328e-07,3.05879609e-12
1.428e-07,3.05872207e-12
1.528e-07,3.05864806e-12
1.628e-07,3.05857407e-12
1.728e-07,3.0585001e-12
1.828e-07,3.05842615e-12
1.928e-07,3.05835221e-12
2.028e-07,3.0582783e-12
2.128e-07,3.0582044e-12
2.228e-07,3.05813052e-12
2.328e-07,3.05805666e-12
2.428e-07,3.05798282e-12
2.528e-07,3.05790899e-12
2.628e-07,3.05783519e-12
2.728e-07,3.0577614e-12
2.828e-07,3.05768763e-12
2.928e-07,3.05761388e-12
3.028e-07,3.05754015e-12
3.128e-07,3.05746643e-12
3.228e-07,3.05739274e-12
3.328e-07,3.05731906e-12
3.428e-07,3.0572454e-12
3.528e-07,3.05717176e-12
3.628e-07,3.05709814e-12
3.728e-07,3.05702453e-12
3.828e-07,3.05695095e-12
3.928e-07,3.05687738e-12
4.028e-07,3.05680383e-12
4.128e-07,3.05673029e-12
4.228e-07,3.05665678e-12
4.328e-07,3.05658329e-12
4.428e-07,3.05650981e-12
4.528e-07,3.05643635e-12
4.628e-07,3.05636291e-12
4.728e-07,3.05628949e-12
4.828e-07,3.05621608e-12
4.928e-07,3.05614269e-12
5.028e-07,3.05606933e-12
5.128e-07,3.05599598e-12
5.228e-07,3.05592264e-12
5.328e-07,3.05584933e-12
5.428e-07,3.05577603e-12
5.528e-07,3.05570276e-12
5.628e-07,3.0556295e-12
5.728e-07,3.05555625e-12
5.828e-07,3.05548303e-12
5.928e-07,3.05540983e-12
6.028e-07,3.05533664e-12
6.128e-07,3.05526347e-12
6.228e-07,3.05519032e-12
6.328e-07,3.05511718e-12
6.428e-07,3.05504407e-12
6.528e-07,3.05497097e-12
6.628e-07,3.05489789e-12
6.728e-07,3.05482483e-12
6.828e-07,3.05475179e-12
6.928e-07,3.05467876e-12
7.028e-07,3.05460576e-12
7.128e-07,3.05453277e-12
7.228e-07,3.0544598e-12
7.328e-07,3.05438684e-12
7.428e-07,3.05431391e-12
7.528e-07,3.05424099e-12
7.628e-07,3.05416809e-12
7.728e-07,3.05409521e-12
7.828e-07,3.05402235e-12
7.928e-07,3.0539495e-12
8.028e-07,3.05387668e-12
8.128e-07,3.05380387e-12
8.228e-07,3.05373107e-12
8.328e-07,3.0536583e-12
8.428e-07,3.05358554e-12
8.528e-07,3.05351281e-12
8.628e-07,3.05344009e-12
8.728e-07,3.05336738e-12
8.828e-07,3.0532947e-12
8.928e-07,3.05322203e-12
9.028e-07,3.05314938e-12
9.128e-07,3.05307675e-12
9.228e-07,3.05300414e-12
9.328e-07,3.05293155e-12
9.428e-07,3.05285897e-12
9.528e-07,3.05278641e-12
9.628e-07,3.05271387e-12
9.728e-07,3.05264134e-12
9.828e-07,3.05256884e-12
9.928e-07,3.05249635e-12
1.0028e-06,3.05242388e-12
1.0128e-06,3.05235143e-12
1.0228e-06,3.05227899e-12
1.0328e-06,3.05220657e-12
1.0428e-06,3.05213417e-12
1.0528e-06,3.05206179e-12
1.0628e-06,3.05198943e-12
1.0728e-06,3.05191708e-12
1.0828e-06,3.05184475e-12
1.0928e-06,3.05177244e-12
1.1028e-06,3.05170015e-12
1.1128e-06,3.05162788e-12
1.1228e-06,3.05155562e-12
1.1328e-06,3.05148338e-12
1.1428e-06,3.05141115e-12
1.1528e-06,3.05133895e-12
1.1628e-06,3.05126676e-12
1.1728e-06,3.05119459e-12
1.1828e-06,3.05112244e-12
1.1928e-06,3.05105031e-12
1.2028e-06,3.05097819e-12
1.2128e-06,3.05090609e-12
1.2228e-06,3.05083401e-12
1.2328e-06,3.05076195e-12
1.2428e-06,3.0506899e-12
1.2528e-06,3.05061787e-12
1.2628e-06,3.05054586e-12
1.2728e-06,3.05047387e-12
1.2828e-06,3.05040189e-12
1.2928e-06,3.05032994e-12
1.3028e-06,3.050258e-12
1.3128e-06,3.05018607e-12
1.3228e-06,3.05011417e-12
1.3328e-06,3.05004228e-12
1.3428e-06,3.04997041e-12
1.3528e-06,3.04989856e-12
1.3628e-06,3.04982672e-12
1.3728e-06,3.0497549e-12
1.3828e-06,3.0496831e-12
1.3928e-06,3.04961132e-12
1.4028e-06,3.04953956e-12
1.4128e-06,3.04946781e-12
1.4228e-06,3.04939608e-12
1.4328e-06,3.04932437e-12
1.4428e-06,3.04925267e-12
1.4528e-06,3.04918099e-12
1.4628e-06,3.04910933e-12
1.4728e-06,3.04903769e-12
1.4828e-06,3.04896607e-12
1.4928e-06,3.04889446e-12
