time,iout
0.0,2.78853961e-12
1e-10,2.48614375e-12
2e-10,2.33654755e-12
4e-10,2.07148055e-12
6.96835566e-10,1.25508638e-12
1.07834239e-09,1.90664747e-13
1.38961005e-09,5.20262491e-14
1.73004993e-09,1.66149717e-14
2.41092968e-09,8.32501453e-15
3.77268919e-09,1.08950145e-12
5.09362345e-09,1.8169653e-08
6.01320656e-09,1.20841679e-06
6.90177807e-09,4.75177209e-06
7.85774043e-09,9.10520743e-06
8.80636066e-09,1.20696306e-05
1.03171199e-08,1.43027518e-05
1.19921599e-08,1.51727894e-05
1.41065968e-08,1.57480547e-05
1.71840068e-08,1.65651713e-05
2.30246655e-08,1.83330041e-05
2.78026621e-08,1.97544692e-05
3.15560742e-08,1.94769365e-05
3.53271978e-08,1.60560297e-05
3.81611878e-08,1.25708198e-05
4.04565559e-08,1.01814294e-05
4.29928792e-08,8.21908525e-06
4.5540882e-08,6.81777748e-06
4.78846534e-08,5.90008394e-06
5.25721962e-08,4.69648361e-06
5.88040023e-08,3.78143513e-06
6.76291979e-08,3.06994099e-06
7.76291979e-08,2.61490436e-06
8.76291979e-08,2.32310753e-06
9.76291979e-08,2.11106986e-06
1.07629198e-07,1.94597228e-06
1.17629198e-07,1.81323809e-06
1.27629198e-07,1.704733e-06
1.37629198e-07,1.6153854e-06
1.47629198e-07,1.54056819e-06
1.57629198e-07,1.47723069e-06
1.67629198e-07,1.42304258e-06
1.77629198e-07,1.37622521e-06
1.87629198e-07,1.33543241e-06
1.97629198e-07,1.29963357e-06
2.07629198e-07,1.26802318e-06
2.17629198e-07,1.23995964e-06
2.27629198e-07,1.21492459e-06
2.37629198e-07,1.19249461e-06
2.47629198e-07,1.17232059e-06
2.57629198e-07,1.15411218e-06
2.67629198e-07,1.137626e-06
2.77629198e-07,1.12265648e-06
2.87629198e-07,1.1090288e-06
2.97629198e-07,1.09659336e-06
3.07629198e-07,1.08522137e-06
3.17629198e-07,1.07480136e-06
3.27629198e-07,1.06523637e-06
3.37629198e-07,1.05644168e-06
3.47629198e-07,1.04834291e-06
3.57629198e-07,1.04087451e-06
3.67629198e-07,1.03397849e-06
3.77629198e-07,1.02760338e-06
3.87629198e-07,1.0217033e-06
3.97629198e-07,1.01623727e-06
4.07629198e-07,1.01116858e-06
4.17629198e-07,1.00646419e-06
4.27629198e-07,1.00209438e-06
4.37629198e-07,9.98032267e-07
4.47629198e-07,9.94253535e-07
4.57629198e-07,9.90736115e-07
4.67629198e-07,9.87459941e-07
4.77629198e-07,9.84406738e-07
4.87629198e-07,9.81559826e-07
4.97629198e-07,9.7890396e-07
5.07629198e-07,9.76425182e-07
5.17629198e-07,9.74110691e-07
5.27629198e-07,9.71948735e-07
5.37629198e-07,9.69928506e-07
5.47629198e-07,9.68040053e-07
5.57629198e-07,9.66274205e-07
5.67629198e-07,9.64622499e-07
5.77629198e-07,9.63077114e-07
5.87629198e-07,9.61630822e-07
5.97629198e-07,9.60276931e-07
6.07629198e-07,9.59009239e-07
6.17629198e-07,9.57822e-07
6.27629198e-07,9.5670988e-07
6.37629198e-07,9.55667926e-07
6.47629198e-07,9.54691534e-07
6.57629198e-07,9.53776426e-07
6.67629198e-07,9.5291862e-07
6.77629198e-07,9.52114409e-07
6.87629198e-07,9.51360338e-07
6.97629198e-07,9.50653191e-07
7.07629198e-07,9.49989966e-07
7.17629198e-07,9.49367864e-07
7.27629198e-07,9.48784273e-07
7.37629198e-07,9.48236753e-07
7.47629198e-07,9.47723027e-07
7.57629198e-07,9.47240965e-07
7.67629198e-07,9.46788579e-07
7.77629198e-07,9.46364009e-07
7.87629198e-07,9.45965515e-07
7.97629198e-07,9.4559147e-07
8.07629198e-07,9.45240351e-07
8.17629198e-07,9.44910733e-07
8.27629198e-07,9.44601282e-07
8.37629198e-07,9.44310748e-07
8.47629198e-07,9.44037962e-07
8.57629198e-07,9.43781827e-07
8.67629198e-07,9.43541316e-07
8.77629198e-07,9.43315467e-07
8.87629198e-07,9.43103378e-07
8.97629198e-07,9.42904202e-07
9.07629198e-07,9.42717148e-07
9.17629198e-07,9.42541472e-07
9.27629198e-07,9.42376477e-07
9.37629198e-07,9.42221509e-07
9.47629198e-07,9.42075955e-07
9.57629198e-07,9.41939239e-07
9.67629198e-07,9.41810823e-07
9.77629198e-07,9.41690198e-07
9.87629198e-07,9.41576891e-07
9.97629198e-07,9.41470455e-07
1.0076292e-06,9.41370472e-07
1.0176292e-06,9.41276549e-07
1.0276292e-06,9.41188317e-07
1.0376292e-06,9.4110543e-07
1.0476292e-06,9.41027563e-07
1.0576292e-06,9.40954411e-07
1.0676292e-06,9.40885688e-07
1.0776292e-06,9.40821125e-07
1.0876292e-06,9.40760469e-07
1.0976292e-06,9.40703484e-07
1.1076292e-06,9.40649946e-07
1.1176292e-06,9.40599647e-07
1.1276292e-06,9.4055239e-07
1.1376292e-06,9.40507991e-07
1.1476292e-06,9.40466277e-07
1.1576292e-06,9.40427085e-07
1.1676292e-06,9.40390263e-07
1.1776292e-06,9.40355666e-07
1.1876292e-06,9.40323161e-07
1.1976292e-06,9.4029262e-07
1.2076292e-06,9.40263925e-07
1.2176292e-06,9.40236964e-07
1.2276292e-06,9.40211632e-07
1.2376292e-06,9.40187831e-07
1.2476292e-06,9.40165467e-07
1.2576292e-06,9.40144455e-07
1.2676292e-06,9.40124712e-07
1.2776292e-06,9.40106162e-07
1.2876292e-06,9.40088732e-07
1.2976292e-06,9.40072355e-07
1.3076292e-06,9.40056968e-07
1.3176292e-06,9.40042509e-07
1.3276292e-06,9.40028924e-07
1.3376292e-06,9.40016159e-07
1.3476292e-06,9.40004165e-07
1.3576292e-06,9.39992896e-07
1.3676292e-06,9.39982307e-07
1.3776292e-06,9.39972357e-07
1.3876292e-06,9.39963008e-07
1.3976292e-06,9.39954224e-07
1.4076292e-06,9.3994597e-07
1.4176292e-06,9.39938214e-07
1.4276292e-06,9.39930927e-07
1.4376292e-06,9.39924079e-07
1.4476292e-06,9.39917645e-07
1.4576292e-06,9.399116e-07
1.4676292e-06,9.39905919e-07
1.4776292e-06,9.39900582e-07
1.4876292e-06,9.39895567e-07
1.4976292e-06,9.39890854e-07
1.5076292e-06,9.39886426e-07
1.5176292e-06,9.39882265e-07
1.5276292e-06,9.39878355e-07
1.5376292e-06,9.39874682e-07
1.5476292e-06,9.3987123e-07
1.5576292e-06,9.39867987e-07
1.5676292e-06,9.39864939e-07
1.5776292e-06,9.39862075e-07
1.5876292e-06,9.39859385e-07
1.5976292e-06,9.39856856e-07
1.6076292e-06,9.3985448e-07
1.6176292e-06,9.39852248e-07
1.6276292e-06,9.39850151e-07
1.6376292e-06,9.3984818e-07
1.6476292e-06,9.39846328e-07
1.6576292e-06,9.39844587e-07
1.6676292e-06,9.39842952e-07
1.6776292e-06,9.39841416e-07
1.6876292e-06,9.39839972e-07
1.6976292e-06,9.39838615e-07
1.7076292e-06,9.39837341e-07
1.7176292e-06,9.39836143e-07
1.7276292e-06,9.39835018e-07
1.7376292e-06,9.3983396e-07
1.7476292e-06,9.39832966e-07
1.7576292e-06,9.39832033e-07
1.7676292e-06,9.39831155e-07
1.7776292e-06,9.39830331e-07
1.7876292e-06,9.39829556e-07
1.7976292e-06,9.39828828e-07
1.8076292e-06,9.39828144e-07
1.8176292e-06,9.39827502e-07
1.8276292e-06,9.39826898e-07
1.8376292e-06,9.3982633e-07
1.8476292e-06,9.39825797e-07
1.8576292e-06,9.39825296e-07
1.8676292e-06,9.39824826e-07
1.8776292e-06,9.39824383e-07
1.8876292e-06,9.39823968e-07
1.8976292e-06,9.39823577e-07
1.9076292e-06,9.3982321e-07
1.9176292e-06,9.39822865e-07
1.9276292e-06,9.39822541e-07
1.9376292e-06,9.39822237e-07
1.9476292e-06,9.39821951e-07
1.9576292e-06,9.39821682e-07
1.9676292e-06,9.39821429e-07
1.9776292e-06,9.39821192e-07
1.9876292e-06,9.39820969e-07
1.9976292e-06,9.39820759e-07
2.0076292e-06,9.39820563e-07
2.0176292e-06,9.39820378e-07
2.0276292e-06,9.39820204e-07
2.0376292e-06,9.3982004e-07
2.0476292e-06,9.39819887e-07
2.0576292e-06,9.39819743e-07
2.0676292e-06,9.39819607e-07
2.0776292e-06,9.3981948e-07
2.0876292e-06,9.3981936e-07
2.0976292e-06,9.39819248e-07
2.1076292e-06,9.39819142e-07
2.1176292e-06,9.39819043e-07
2.1276292e-06,9.39818949e-07
2.1376292e-06,9.39818862e-07
2.1476292e-06,9.39818779e-07
2.1576292e-06,9.39818702e-07
2.1676292e-06,9.39818629e-07
2.1776292e-06,9.39818561e-07
2.1876292e-06,9.39818497e-07
2.1976292e-06,9.39818436e-07
2.2076292e-06,9.3981838e-07
2.2176292e-06,9.39818326e-07
2.2276292e-06,9.39818276e-07
2.2376292e-06,9.39818229e-07
2.2476292e-06,9.39818185e-07
2.2576292e-06,9.39818144e-07
2.2676292e-06,9.39818105e-07
2.2776292e-06,9.39818068e-07
2.2876292e-06,9.39818033e-07
2.2976292e-06,9.39818001e-07
2.3076292e-06,9.39817971e-07
2.3176292e-06,9.39817942e-07
2.3276292e-06,9.39817915e-07
2.3376292e-06,9.3981789e-07
2.3476292e-06,9.39817866e-07
2.3576292e-06,9.39817844e-07
2.3676292e-06,9.39817823e-07
2.3776292e-06,9.39817803e-07
2.3876292e-06,9.39817785e-07
2.3976292e-06,9.39817768e-07
2.4076292e-06,9.39817751e-07
2.4176292e-06,9.39817736e-07
2.4276292e-06,9.39817722e-07
2.4376292e-06,9.39817708e-07
2.4476292e-06,9.39817695e-07
2.4576292e-06,9.39817683e-07
2.4676292e-06,9.39817672e-07
2.4776292e-06,9.39817661e-07
2.4876292e-06,9.39817652e-07
2.4976292e-06,9.39817642e-07
2.5076292e-06,9.39817634e-07
2.5176292e-06,9.39817625e-07
2.5276292e-06,9.39817618e-07
2.5376292e-06,9.3981761e-07
2.5476292e-06,9.39817603e-07
2.5576292e-06,9.39817597e-07
2.5676292e-06,9.39817591e-07
2.5776292e-06,9.39817585e-07
2.5876292e-06,9.3981758e-07
2.5976292e-06,9.39817575e-07
2.6076292e-06,9.3981757e-07
2.6176292e-06,9.39817566e-07
2.6276292e-06,9.39817562e-07
2.6376292e-06,9.39817558e-07
2.6476292e-06,9.39817554e-07
2.6576292e-06,9.39817551e-07
2.6676292e-06,9.39817547e-07
2.6776292e-06,9.39817544e-07
2.6876292e-06,9.39817542e-07
2.6976292e-06,9.39817539e-07
2.7076292e-06,9.39817536e-07
2.7176292e-06,9.39817534e-07
2.7276292e-06,9.39817532e-07
2.7376292e-06,9.3981753e-07
2.7476292e-06,9.39817528e-07
2.7576292e-06,9.39817526e-07
2.7676292e-06,9.39817524e-07
2.7776292e-06,9.39817523e-07
2.7876292e-06,9.39817521e-07
2.7976292e-06,9.3981752e-07
2.8076292e-06,9.39817518e-07
2.8176292e-06,9.39817517e-07
2.8276292e-06,9.39817516e-07
2.8376292e-06,9.39817515e-07
2.8476292e-06,9.39817514e-07
2.8576292e-06,9.39817513e-07
2.8676292e-06,9.39817512e-07
2.8776292e-06,9.39817511e-07
2.8876292e-06,9.3981751e-07
2.8976292e-06,9.39817509e-07
2.9076292e-06,9.39817508e-07
2.9176292e-06,9.39817508e-07
2.9276292e-06,9.39817507e-07
2.9376292e-06,9.39817507e-07
2.9476292e-06,9.39817506e-07
2.9576292e-06,9.39817505e-07
2.9676292e-06,9.39817505e-07
2.9776292e-06,9.39817504e-07
2.9876292e-06,9.39817504e-07
2.9976292e-06,9.39817504e-07
3.0076292e-06,9.39817503e-07
3.0176292e-06,9.39817503e-07
3.0276292e-06,9.39817503e-07
3.0376292e-06,9.39817502e-07
3.0476292e-06,9.39817502e-07
3.0576292e-06,9.39817502e-07
3.0676292e-06,9.39817501e-07
3.0776292e-06,9.39817501e-07
3.0876292e-06,9.39817501e-07
3.0976292e-06,9.39817501e-07
3.1076292e-06,9.398175e-07
3.1176292e-06,9.398175e-07
3.1276292e-06,9.398175e-07
3.1376292e-06,9.398175e-07
3.1476292e-06,9.398175e-07
3.1576292e-06,9.398175e-07
3.1676292e-06,9.39817499e-07
3.1776292e-06,9.39817499e-07
3.1876292e-06,9.39817499e-07
3.1976292e-06,9.39817499e-07
3.2076292e-06,9.39817499e-07
3.2176292e-06,9.39817499e-07
3.2276292e-06,9.39817499e-07
3.2376292e-06,9.39817499e-07
3.2476292e-06,9.39817499e-07
3.2576292e-06,9.39817498e-07
3.2676292e-06,9.39817498e-07
3.2776292e-06,9.39817498e-07
3.2876292e-06,9.39817498e-07
3.2976292e-06,9.39817498e-07
3.3076292e-06,9.39817498e-07
3.3176292e-06,9.39817498e-07
3.3276292e-06,9.39817498e-07
3.3376292e-06,9.39817498e-07
3.3476292e-06,9.39817498e-07
3.3576292e-06,9.39817498e-07
3.3676292e-06,9.39817498e-07
3.3776292e-06,9.39817498e-07
3.3876292e-06,9.39817498e-07
3.3976292e-06,9.39817498e-07
3.4076292e-06,9.39817498e-07
3.4176292e-06,9.39817498e-07
3.4276292e-06,9.39817498e-07
3.4376292e-06,9.39817498e-07
3.4476292e-06,9.39817498e-07
3.4576292e-06,9.39817498e-07
3.4676292e-06,9.39817497e-07
3.4776292e-06,9.39817497e-07
3.4876292e-06,9.39817497e-07
3.4976292e-06,9.39817497e-07
3.5076292e-06,9.39817497e-07
3.5176292e-06,9.39817497e-07
3.5276292e-06,9.39817497e-07
3.5376292e-06,9.39817497e-07
3.5476292e-06,9.39817497e-07
3.5576292e-06,9.39817497e-07
3.5676292e-06,9.39817497e-07
3.5776292e-06,9.39817497e-07
3.5876292e-06,9.39817497e-07
3.5976292e-06,9.39817497e-07
3.6076292e-06,9.39817497e-07
3.6176292e-06,9.39817497e-07
3.6276292e-06,9.39817497e-07
3.6376292e-06,9.39817497e-07
3.6476292e-06,9.39817497e-07
3.6576292e-06,9.39817497e-07
3.6676292e-06,9.39817497e-07
3.6776292e-06,9.39817497e-07
3.6876292e-06,9.39817497e-07
3.6976292e-06,9.39817497e-07
3.7076292e-06,9.39817497e-07
3.7176292e-06,9.39817497e-07
3.7276292e-06,9.39817497e-07
3.7376292e-06,9.39817497e-07
3.7476292e-06,9.39817497e-07
3.7576292e-06,9.39817497e-07
3.7676292e-06,9.39817497e-07
3.7776292e-06,9.39817497e-07
3.7876292e-06,9.39817497e-07
3.7976292e-06,9.39817497e-07
3.8076292e-06,9.39817497e-07
3.8176292e-06,9.39817497e-07
3.8276292e-06,9.39817497e-07
3.8376292e-06,9.39817497e-07
3.8476292e-06,9.39817497e-07
3.8576292e-06,9.39817497e-07
