time,iout
0.0,4.78339539e-12
1e-10,4.78339482e-12
2e-10,4.78339446e-12
4e-10,4.78339373e-12
8e-10,4.78339226e-12
1.6e-09,4.78338932e-12
3.2e-09,4.78338343e-12
6.4e-09,4.78337166e-12
1.28e-08,4.78334812e-12
2.28e-08,4.78331135e-12
3.28e-08,4.78327458e-12
4.28e-08,4.78323781e-12
5.28e-08,4.78320106e-12
6.28e-08,4.7831643e-12
7.28e-08,4.78312755e-12
8.28e-08,4.78309081e-12
9.28e-08,4.78305407e-12
1.028e-07,4.78301734e-12
1.128e-07,4.78298062e-12
1.228e-07,4.7829439e-12
1.328e-07,4.78290718e-12
1.428e-07,4.78287047e-12
1.528e-07,4.78283376e-12
1.628e-07,4.78279707e-12
1.728e-07,4.78276037e-12
1.828e-07,4.78272368e-12
1.928e-07,4.782687e-12
2.028e-07,4.78265032e-12
2.128e-07,4.78261365e-12
2.228e-07,4.78257698e-12
2.328e-07,4.78254032e-12
2.428e-07,4.78250366e-12
2.528e-07,4.78246701e-12
2.628e-07,4.78243037e-12
2.728e-07,4.78239372e-12
2.828e-07,4.78235709e-12
2.928e-07,4.78232046e-12
3.028e-07,4.78228384e-12
3.128e-07,4.78224722e-12
3.228e-07,4.7822106e-12
3.328e-07,4.782174e-12
3.428e-07,4.78213739e-12
3.528e-07,4.78210079e-12
3.628e-07,4.7820642e-12
3.728e-07,4.78202762e-12
3.828e-07,4.78199103e-12
3.928e-07,4.78195446e-12
4.028e-07,4.78191789e-12
4.128e-07,4.78188132e-12
4.228e-07,4.78184476e-12
4.328e-07,4.78180821e-12
4.428e-07,4.78177166e-12
4.528e-07,4.78173512e-12
4.628e-07,4.78169858e-12
4.728e-07,4.78166204e-12
4.828e-07,4.78162552e-12
4.928e-07,4.781589e-12
5.028e-07,4.78155248e-12
5.128e-07,4.78151597e-12
5.228e-07,4.78147946e-12
5.328e-07,4.78144296e-12
5.428e-07,4.78140646e-12
5.528e-07,4.78136997e-12
5.628e-07,4.78133349e-12
5.728e-07,4.78129701e-12
5.828e-07,4.78126054e-12
5.928e-07,4.78122407e-12
6.028e-07,4.78118761e-12
6.128e-07,4.78115115e-12
6.228e-07,4.7811147e-12
6.328e-07,4.78107825e-12
6.428e-07,4.78104181e-12
6.528e-07,4.78100537e-12
6.628e-07,4.78096894e-12
6.728e-07,4.78093252e-12
6.828e-07,4.7808961e-12
6.928e-07,4.78085968e-12
7.028e-07,4.78082327e-12
7.128e-07,4.78078687e-12
7.228e-07,4.78075047e-12
7.328e-07,4.78071408e-12
7.428e-07,4.78067769e-12
7.528e-07,4.78064131e-12
7.628e-07,4.78060493e-12
7.728e-07,4.78056856e-12
7.828e-07,4.78053219e-12
7.928e-07,4.78049583e-12
8.028e-07,4.78045948e-12
8.128e-07,4.78042313e-12
8.228e-07,4.78038678e-12
8.328e-07,4.78035044e-12
8.428e-07,4.78031411e-12
8.528e-07,4.78027778e-12
8.628e-07,4.78024146e-12
8.728e-07,4.78020514e-12
8.828e-07,4.78016883e-12
8.928e-07,4.78013252e-12
9.028e-07,4.78009622e-12
9.128e-07,4.78005992e-12
9.228e-07,4.78002363e-12
9.328e-07,4.77998734e-12
9.428e-07,4.77995106e-12
9.528e-07,4.77991479e-12
9.628e-07,4.77987852e-12
9.728e-07,4.77984226e-12
9.828e-07,4.779806e-12
9.928e-07,4.77976974e-12
1.0028e-06,4.7797335e-12
1.0128e-06,4.77969725e-12
1.0228e-06,4.77966102e-12
1.0328e-06,4.77962479e-12
1.0428e-06,4.77958856e-12
1.0528e-06,4.77955234e-12
1.0628e-06,4.77951612e-12
1.0728e-06,4.77947991e-12
1.0828e-06,4.77944371e-12
1.0928e-06,4.77940751e-12
1.1028e-06,4.77937131e-12
1.1128e-06,4.77933513e-12
1.1228e-06,4.77929894e-12
1.1328e-06,4.77926277e-12
1.1428e-06,4.77922659e-12
1.1528e-06,4.77919043e-12
1.1628e-06,4.77915426e-12
1.1728e-06,4.77911811e-12
1.1828e-06,4.77908196e-12
1.1928e-06,4.77904581e-12
1.2028e-06,4.77900967e-12
1.2128e-06,4.77897354e-12
1.2228e-06,4.77893741e-12
1.2328e-06,4.77890128e-12
1.2428e-06,4.77886517e-12
1.2528e-06,4.77882905e-12
1.2628e-06,4.77879294e-12
1.2728e-06,4.77875684e-12
1.2828e-06,4.77872074e-12
1.2928e-06,4.77868465e-12
1.3028e-06,4.77864857e-12
1.3128e-06,4.77861249e-12
1.3228e-06,4.77857641e-12
1.3328e-06,4.77854034e-12
1.3428e-06,4.77850428e-12
1.3528e-06,4.77846822e-12
1.3628e-06,4.77843216e-12
1.3728e-06,4.77839611e-12
1.3828e-06,4.77836007e-12
1.3928e-06,4.77832403e-12
1.4028e-06,4.778288e-12
1.4128e-06,4.77825197e-12
1.4228e-06,4.77821595e-12
1.4328e-06,4.77817994e-12
1.4428e-06,4.77814393e-12
1.4528e-06,4.77810792e-12
1.4628e-06,4.77807192e-12
1.4728e-06,4.77803593e-12
1.4828e-06,4.77799994e-12
1.4928e-06,4.77796395e-12
1.5028e-06,4.77792797e-12
1.5128e-06,4.777892e-12
1.5228e-06,4.77785603e-12
1.5328e-06,4.77782007e-12
1.5428e-06,4.77778411e-12
1.5528e-06,4.77774816e-12
1.5628e-06,4.77771222e-12
1.5728e-06,4.77767628e-12
1.5828e-06,4.77764034e-12
1.5928e-06,4.77760441e-12
1.6028e-06,4.77756849e-12
1.6128e-06,4.77753257e-12
1.6228e-06,4.77749665e-12
1.6328e-06,4.77746075e-12
1.6428e-06,4.77742484e-12
1.6528e-06,4.77738895e-12
1.6628e-06,4.77735305e-12
1.6728e-06,4.77731717e-12
1.6828e-06,4.77728128e-12
1.6928e-06,4.77724541e-12
1.7028e-06,4.77720954e-12
1.7128e-06,4.77717367e-12
1.7228e-06,4.77713781e-12
1.7328e-06,4.77710196e-12
1.7428e-06,4.77706611e-12
1.7528e-06,4.77703027e-12
1.7628e-06,4.77699443e-12
1.7728e-06,4.7769586e-12
1.7828e-06,4.77692277e-12
1.7928e-06,4.77688695e-12
1.8028e-06,4.77685113e-12
1.8128e-06,4.77681532e-12
1.8228e-06,4.77677951e-12
1.8328e-06,4.77674371e-12
1.8428e-06,4.77670792e-12
1.8528e-06,4.77667213e-12
1.8628e-06,4.77663634e-12
1.8728e-06,4.77660056e-12
1.8828e-06,4.77656479e-12
1.8928e-06,4.77652902e-12
1.9028e-06,4.77649326e-12
1.9128e-06,4.7764575e-12
1.9228e-06,4.77642175e-12
1.9328e-06,4.776386e-12
1.9428e-06,4.77635026e-12
1.9528e-06,4.77631453e-12
1.9628e-06,4.7762788e-12
1.9728e-06,4.77624307e-12
1.9828e-06,4.77620735e-12
1.9928e-06,4.77617164e-12
2.0028e-06,4.77613593e-12
2.0128e-06,4.77610023e-12
2.0228e-06,4.77606453e-12
2.0328e-06,4.77602884e-12
2.0428e-06,4.77599315e-12
2.0528e-06,4.77595747e-12
2.0628e-06,4.77592179e-12
2.0728e-06,4.77588612e-12
2.0828e-06,4.77585046e-12
2.0928e-06,4.77581479e-12
2.1028e-06,4.77577914e-12
2.1128e-06,4.77574349e-12
2.1228e-06,4.77570785e-12
2.1328e-06,4.77567221e-12
2.1428e-06,4.77563658e-12
2.1528e-06,4.77560095e-12
2.1628e-06,4.77556533e-12
2.1728e-06,4.77552971e-12
2.1828e-06,4.7754941e-12
2.1928e-06,4.77545849e-12
2.2028e-06,4.77542289e-12
2.2128e-06,4.7753873e-12
2.2228e-06,4.77535171e-12
2.2328e-06,4.77531612e-12
2.2428e-06,4.77528054e-12
2.2528e-06,4.77524497e-12
2.2628e-06,4.7752094e-12
2.2728e-06,4.77517384e-12
2.2828e-06,4.77513828e-12
2.2928e-06,4.77510273e-12
2.3028e-06,4.77506718e-12
2.3128e-06,4.77503164e-12
2.3228e-06,4.7749961e-12
2.3328e-06,4.77496057e-12
2.3428e-06,4.77492505e-12
2.3528e-06,4.77488953e-12
2.3628e-06,4.77485401e-12
2.3728e-06,4.77481851e-12
2.3828e-06,4.774783e-12
2.3928e-06,4.7747475e-12
2.4028e-06,4.77471201e-12
2.4128e-06,4.77467652e-12
2.4228e-06,4.77464104e-12
2.4328e-06,4.77460557e-12
2.4428e-06,4.7745701e-12
2.4528e-06,4.77453463e-12
2.4628e-06,4.77449917e-12
2.4728e-06,4.77446372e-12
2.4828e-06,4.77442827e-12
2.4928e-06,4.77439282e-12
2.5028e-06,4.77435738e-12
2.5128e-06,4.77432195e-12
2.5228e-06,4.77428652e-12
2.5328e-06,4.7742511e-12
2.5428e-06,4.77421568e-12
2.5528e-06,4.77418027e-12
2.5628e-06,4.77414487e-12
2.5728e-06,4.77410946e-12
2.5828e-06,4.77407407e-12
2.5928e-06,4.77403868e-12
2.6028e-06,4.7740033e-12
2.6128e-06,4.77396792e-12
2.6228e-06,4.77393254e-12
2.6328e-06,4.77389717e-12
2.6428e-06,4.77386181e-12
2.6528e-06,4.77382645e-12
2.6628e-06,4.7737911e-12
2.6728e-06,4.77375576e-12
2.6828e-06,4.77372041e-12
2.6928e-06,4.77368508e-12
2.7028e-06,4.77364975e-12
2.7128e-06,4.77361442e-12
2.7228e-06,4.7735791e-12
2.7328e-06,4.77354379e-12
2.7428e-06,4.77350848e-12
2.7528e-06,4.77347318e-12
2.7628e-06,4.77343788e-12
2.7728e-06,4.77340259e-12
2.7828e-06,4.7733673e-12
2.7928e-06,4.77333202e-12
2.8028e-06,4.77329674e-12
2.8128e-06,4.77326147e-12
2.8228e-06,4.77322621e-12
2.8328e-06,4.77319095e-12
2.8428e-06,4.77315569e-12
2.8528e-06,4.77312044e-12
2.8628e-06,4.7730852e-12
2.8728e-06,4.77304996e-12
2.8828e-06,4.77301473e-12
2.8928e-06,4.7729795e-12
2.9028e-06,4.77294428e-12
2.9128e-06,4.77290906e-12
2.9228e-06,4.77287385e-12
2.9328e-06,4.77283864e-12
2.9428e-06,4.77280344e-12
2.9528e-06,4.77276825e-12
2.9628e-06,4.77273306e-12
2.9728e-06,4.77269787e-12
