time,iout
0.0,7.37252876e-12
1e-10,7.37252854e-12
2e-10,7.37252839e-12
4e-10,7.3725281e-12
8e-10,7.37252751e-12
1.6e-09,7.37252632e-12
3.2e-09,7.37252395e-12
6.4e-09,7.37251921e-12
1.28e-08,7.37250974e-12
2.28e-08,7.37249493e-12
3.28e-08,7.37248012e-12
4.28e-08,7.37246531e-12
5.28e-08,7.37245051e-12
6.28e-08,7.3724357e-12
7.28e-08,7.37242089e-12
8.28e-08,7.37240608e-12
9.28e-08,7.37239127e-12
1.028e-07,7.37237646e-12
1.128e-07,7.37236165e-12
1.228e-07,7.37234684e-12
1.328e-07,7.37233202e-12
1.428e-07,7.37231721e-12
1.528e-07,7.3723024e-12
1.628e-07,7.37228759e-12
1.728e-07,7.37227277e-12
1.828e-07,7.37225796e-12
1.928e-07,7.37224314e-12
2.028e-07,7.37222833e-12
2.128e-07,7.37221352e-12
2.228e-07,7.3721987e-12
2.328e-07,7.37218388e-12
2.428e-07,7.37216907e-12
2.528e-07,7.37215425e-12
2.628e-07,7.37213943e-12
2.728e-07,7.37212462e-12
2.828e-07,7.3721098e-12
2.928e-07,7.37209498e-12
3.028e-07,7.37208016e-12
3.128e-07,7.37206534e-12
3.228e-07,7.37205052e-12
3.328e-07,7.3720357e-12
3.428e-07,7.37202088e-12
3.528e-07,7.37200606e-12
3.628e-07,7.37199124e-12
3.728e-07,7.37197642e-12
3.828e-07,7.3719616e-12
3.928e-07,7.37194678e-12
4.028e-07,7.37193196e-12
4.128e-07,7.37191713e-12
4.228e-07,7.37190231e-12
4.328e-07,7.37188749e-12
4.428e-07,7.37187266e-12
4.528e-07,7.37185784e-12
4.628e-07,7.37184301e-12
4.728e-07,7.37182819e-12
4.828e-07,7.37181336e-12
4.928e-07,7.37179853e-12
5.028e-07,7.37178371e-12
5.128e-07,7.37176888e-12
5.228e-07,7.37175405e-12
5.328e-07,7.37173923e-12
5.428e-07,7.3717244e-12
5.528e-07,7.37170957e-12
5.628e-07,7.37169474e-12
5.728e-07,7.37167991e-12
5.828e-07,7.37166508e-12
5.928e-07,7.37165025e-12
6.028e-07,7.37163542e-12
6.128e-07,7.37162059e-12
6.228e-07,7.37160576e-12
6.328e-07,7.37159093e-12
6.428e-07,7.37157609e-12
6.528e-07,7.37156126e-12
6.628e-07,7.37154643e-12
6.728e-07,7.37153159e-12
6.828e-07,7.37151676e-12
6.928e-07,7.37150193e-12
7.028e-07,7.37148709e-12
7.128e-07,7.37147226e-12
7.228e-07,7.37145742e-12
7.328e-07,7.37144259e-12
7.428e-07,7.37142775e-12
7.528e-07,7.37141291e-12
7.628e-07,7.37139808e-12
7.728e-07,7.37138324e-12
7.828e-07,7.3713684e-12
7.928e-07,7.37135356e-12
8.028e-07,7.37133872e-12
8.128e-07,7.37132388e-12
8.228e-07,7.37130905e-12
8.328e-07,7.37129421e-12
8.428e-07,7.37127937e-12
8.528e-07,7.37126452e-12
8.628e-07,7.37124968e-12
8.728e-07,7.37123484e-12
8.828e-07,7.37122e-12
8.928e-07,7.37120516e-12
9.028e-07,7.37119032e-12
9.128e-07,7.37117547e-12
9.228e-07,7.37116063e-12
9.328e-07,7.37114579e-12
9.428e-07,7.37113094e-12
9.528e-07,7.3711161e-12
9.628e-07,7.37110125e-12
9.728e-07,7.37108641e-12
9.828e-07,7.37107156e-12
9.928e-07,7.37105671e-12
1.0028e-06,7.37104187e-12
1.0128e-06,7.37102702e-12
1.0228e-06,7.37101217e-12
1.0328e-06,7.37099733e-12
1.0428e-06,7.37098248e-12
1.0528e-06,7.37096763e-12
1.0628e-06,7.37095278e-12
1.0728e-06,7.37093793e-12
1.0828e-06,7.37092308e-12
1.0928e-06,7.37090823e-12
1.1028e-06,7.37089338e-12
1.1128e-06,7.37087853e-12
1.1228e-06,7.37086368e-12
1.1328e-06,7.37084883e-12
1.1428e-06,7.37083397e-12
1.1528e-06,7.37081912e-12
1.1628e-06,7.37080427e-12
1.1728e-06,7.37078942e-12
1.1828e-06,7.37077456e-12
1.1928e-06,7.37075971e-12
1.2028e-06,7.37074485e-12
1.2128e-06,7.37073e-12
1.2228e-06,7.37071514e-12
1.2328e-06,7.37070029e-12
1.2428e-06,7.37068543e-12
1.2528e-06,7.37067057e-12
1.2628e-06,7.37065572e-12
1.2728e-06,7.37064086e-12
1.2828e-06,7.370626e-12
1.2928e-06,7.37061114e-12
1.3028e-06,7.37059629e-12
1.3128e-06,7.37058143e-12
1.3228e-06,7.37056657e-12
1.3328e-06,7.37055171e-12
1.3428e-06,7.37053685e-12
1.3528e-06,7.37052199e-12
1.3628e-06,7.37050713e-12
1.3728e-06,7.37049227e-12
1.3828e-06,7.3704774e-12
1.3928e-06,7.37046254e-12
1.4028e-06,7.37044768e-12
1.4128e-06,7.37043282e-12
1.4228e-06,7.37041795e-12
1.4328e-06,7.37040309e-12
1.4428e-06,7.37038823e-12
1.4528e-06,7.37037336e-12
1.4628e-06,7.3703585e-12
1.4728e-06,7.37034363e-12
1.4828e-06,7.37032877e-12
1.4928e-06,7.3703139e-12
1.5028e-06,7.37029903e-12
1.5128e-06,7.37028417e-12
1.5228e-06,7.3702693e-12
1.5328e-06,7.37025443e-12
1.5428e-06,7.37023956e-12
1.5528e-06,7.37022469e-12
1.5628e-06,7.37020983e-12
1.5728e-06,7.37019496e-12
1.5828e-06,7.37018009e-12
1.5928e-06,7.37016522e-12
1.6028e-06,7.37015035e-12
1.6128e-06,7.37013548e-12
1.6228e-06,7.37012061e-12
1.6328e-06,7.37010573e-12
1.6428e-06,7.37009086e-12
1.6528e-06,7.37007599e-12
1.6628e-06,7.37006112e-12
1.6728e-06,7.37004624e-12
1.6828e-06,7.37003137e-12
1.6928e-06,7.3700165e-12
1.7028e-06,7.37000162e-12
1.7128e-06,7.36998675e-12
1.7228e-06,7.36997187e-12
1.7328e-06,7.369957e-12
1.7428e-06,7.36994212e-12
1.7528e-06,7.36992724e-12
1.7628e-06,7.36991237e-12
1.7728e-06,7.36989749e-12
1.7828e-06,7.36988261e-12
1.7928e-06,7.36986773e-12
1.8028e-06,7.36985286e-12
1.8128e-06,7.36983798e-12
1.8228e-06,7.3698231e-12
1.8328e-06,7.36980822e-12
1.8428e-06,7.36979334e-12
1.8528e-06,7.36977846e-12
1.8628e-06,7.36976358e-12
1.8728e-06,7.3697487e-12
1.8828e-06,7.36973382e-12
1.8928e-06,7.36971893e-12
1.9028e-06,7.36970405e-12
1.9128e-06,7.36968917e-12
1.9228e-06,7.36967429e-12
1.9328e-06,7.3696594e-12
1.9428e-06,7.36964452e-12
1.9528e-06,7.36962964e-12
1.9628e-06,7.36961475e-12
1.9728e-06,7.36959987e-12
1.9828e-06,7.36958498e-12
1.9928e-06,7.3695701e-12
2.0028e-06,7.36955521e-12
2.0128e-06,7.36954032e-12
2.0228e-06,7.36952544e-12
2.0328e-06,7.36951055e-12
2.0428e-06,7.36949566e-12
